,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,2.718813791043555e-07,6.341684556681807e-05,0.06316758814618792,2.526291072576779,4435,9.608116081983635e-11,3.3630715128459957e-10,4.328728679495272e-10,7.382286586757494e-10,2.063530469619957e-09
ch1,8.279271268144099e-07,7.855770498122154e-05,0.2463057275944767,2.5343549352757107,3637,1.6397201929980563e-10,8.32938730353945e-10,9.693283460330998e-10,1.3783435837884633e-09,2.336773490478977e-09
ch2,3.4633658036960055e-07,5.416417728646888e-05,0.13997230422267265,4.749505866520365,4559,1.357708538228415e-10,4.717442425671401e-10,5.885190865922088e-10,7.926759917557178e-10,7.587071281581746e-10
ch3,3.826310464115654e-07,6.558297723814366e-05,0.4791481410208803,2.77652765493575,4000,7.488241621841717e-11,5.006498664516678e-10,6.909164562596229e-10,5.932868667283491e-10,1.9586357521765273e-09
ch4,-9.262545980535229e-07,5.65440980520445e-05,-0.4961175997042109,2.2869789207042484,2833,9.601708070484292e-11,1.1110090140184987e-10,9.492801630126072e-11,1.1817846289750936e-09,1.5135746538167873e-09
ch5,1.7127605638410175e-07,6.752347446436852e-05,-0.9347761676600478,9.496462351789926,4801,1.8879903474485508e-10,1.1380772824112542e-09,1.3796346461353635e-09,8.051384812340187e-10,8.871822073730923e-10
ch6,6.900395666782014e-07,4.8221418394668905e-05,-0.0031921337858898382,0.9068033901448067,3188,1.1891051239002516e-10,1.363483629781859e-10,1.22703010896328e-10,9.165271576209361e-10,8.177384972256753e-10
ch7,-5.110035291157589e-07,8.486889794481846e-05,0.3316868232780914,3.2698432804389084,5002,1.9347324775294836e-10,1.281169403948494e-09,1.4562383290748011e-09,1.4243247743601104e-09,2.4057017235510987e-09
ch8,-2.6655503078444123e-08,4.9618454793211376e-05,-0.12426547367991476,2.3189319018379937,4691,9.594747340710026e-11,2.229368151382693e-10,2.522751326112807e-10,1.132470105122586e-09,6.098684705787999e-10
ch9,2.7636165339561314e-08,5.692654011682445e-05,-0.2681127271054274,2.7537480835896737,6711,1.1964616700487275e-10,6.400714794615164e-10,9.168171124437069e-10,8.974264936289478e-10,5.382070516156302e-10
ch10,-1.1916694557474344e-06,5.521763952737619e-05,-0.22956910774767555,3.0596795014570413,1877,1.1894491452145658e-10,8.900452273620577e-11,3.691023049455045e-11,1.541025239854698e-09,1.1481012896871968e-09
ch11,-4.984108608560475e-07,7.729249894590353e-05,0.018685299259733605,4.398215001126139,4305,1.0484274392290218e-10,5.291191330733955e-10,6.806108504344326e-10,8.437135984137565e-10,3.1697951288679657e-09
ch12,3.1576987927675993e-07,5.5486618487260495e-05,0.45358057684381703,1.9833530748808732,6097,9.152258808600564e-11,3.6545046854422275e-10,5.84547888342948e-10,7.486632467380306e-10,1.0337396863989634e-09
ch13,4.031224190465555e-08,3.329047685002327e-05,0.09721588534562639,1.683802246271382,2134,7.33115146448427e-11,5.087897451838529e-11,1.554230193499953e-11,5.346855766375201e-10,3.612639997913221e-10
ch14,-5.394138652047322e-07,8.190051193378119e-05,0.9879330875713492,9.525106649610196,5333,1.9437480784320728e-10,1.5703661786737947e-09,2.110399054196208e-09,1.1416874058540366e-09,1.3345580790299712e-09
ch15,-2.3034549851242406e-07,3.289451049363073e-05,0.1909348865790189,2.4651470285140764,1986,7.126551153891458e-11,4.160122516736279e-11,1.137095115964562e-11,4.875381893832751e-10,3.9350376402961804e-10
ch16,6.440044131376709e-07,4.358531392467284e-05,-0.0679377986293882,1.0561679717431485,3012,1.0398674823219099e-10,1.2251941038349537e-10,1.0286939606517953e-10,6.295312732204746e-10,7.476143220238768e-10
ch17,1.0896450261455134e-07,4.432943378779176e-05,0.21672671772602858,9.200643558727876,1833,1.363365037078236e-10,1.284997211515222e-10,3.5158322188983504e-11,9.537165919009688e-10,5.763064436089663e-10
