,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-3.4109097137624893e-07,4.115431420839919e-05,-0.087481835116533,1.36264881241007,1315,1.2337604853146593e-10,3.4034409381809074e-11,4.892967963966526e-12,3.5329660471023877e-10,8.609703565070647e-10
ch1,7.71386372361195e-07,3.3255358438119313e-05,-0.2573617750211274,2.6718467333611517,1465,6.618018762762614e-11,4.4872373142838584e-11,4.1857138139595466e-12,1.8573419786066902e-10,6.567708319746246e-10
ch2,8.939149848749761e-07,3.972166492209363e-05,0.1656973310513204,1.35792092901558,1313,8.963868214953586e-11,2.3730065142660454e-11,5.531396820764081e-12,4.062079932972776e-10,7.760757825820712e-10
ch3,2.4205711959829666e-07,3.002305534164676e-05,0.009107417501665544,0.6263153455156725,1119,4.165837682331939e-11,1.6800238173862664e-11,2.486037019392612e-12,1.691479740040758e-10,4.930788554750813e-10
ch4,-5.451041628135502e-07,4.413760589089761e-05,0.17408668978574576,1.821608860466247,1451,1.5141100763742876e-10,8.004531853763949e-11,9.331926792227846e-12,3.3509726531022585e-10,9.945273647674876e-10
ch5,1.2812477023633745e-06,3.7478979951836985e-05,0.3763477557144561,2.1681964073132134,1953,9.4491337590353e-11,2.250766799750474e-11,1.1849230837849027e-11,4.0818997610750096e-10,6.712195953609248e-10
ch6,4.2416074654184953e-07,4.456039459748038e-05,0.3169908485946551,1.4570767826231439,1230,1.2919649545463832e-10,3.4844326027940166e-11,5.506933551461879e-12,3.588943413772865e-10,1.1226148314877996e-09
ch7,1.2582507233666341e-06,3.989817284175798e-05,-0.11192368973705856,2.3653441066517527,1192,7.158635822194517e-11,4.3807239911224125e-11,3.777252965621743e-12,2.591265010711643e-10,9.533041566692724e-10
ch8,-4.3842158474628294e-07,5.040853920879019e-05,0.08090403531035138,2.4503256499469046,1258,1.2898985281709325e-10,7.55923422991511e-11,9.486032324643904e-12,3.2329557954635323e-10,1.6415006982614872e-09
ch9,1.201768103565906e-07,3.684707540955342e-05,0.3299825445480839,1.7556209377631786,1300,9.336092265886301e-11,2.235234387691797e-11,3.4076678142287014e-12,3.4727715118108134e-10,7.216973420167247e-10
ch10,-9.711644514679559e-07,6.351318067948239e-05,-0.025491718566422347,2.2387898748539197,1203,1.507178057226975e-10,1.0118257856719313e-10,9.754836225703783e-12,4.388012700858402e-10,2.455154114468282e-09
ch11,4.418894507380527e-07,3.042250509475459e-05,-0.05730919151994986,0.9357582066255969,1187,4.4086766449000914e-11,1.8730989691150643e-11,2.8993752565212227e-12,1.4044475073402425e-10,5.737128502913556e-10
ch12,8.662491749401213e-08,3.929844162085034e-05,-0.16058190002984715,2.2978360203603385,1342,1.0254559071775644e-10,3.50778889366266e-11,4.999553318917779e-12,2.9639851488414217e-10,9.087648238594305e-10
ch13,3.142382774069342e-07,2.709733585520491e-05,0.2684950642470216,2.7366838259528334,1534,5.22461013995715e-11,2.0373359056614713e-11,3.8710055087871315e-12,1.4040324853974454e-10,4.197189468968847e-10
ch14,-1.081473118617739e-08,3.735725035163249e-05,0.16598258449318756,1.4248890167522141,1328,9.562503387761908e-11,2.719463230602892e-11,4.330633165399332e-12,3.6452752597612277e-10,7.532095953881949e-10
ch15,2.465392145909052e-07,3.2493504890672296e-05,0.050623555243791765,2.007153027854036,1562,8.165059992428755e-11,3.927212740139441e-11,6.75225452897657e-12,2.0054140856466288e-10,5.927346319794725e-10
ch16,6.892617685216721e-07,3.709731134357655e-05,0.24055687879141083,1.1079125970791335,1807,1.3131795912477444e-10,3.1787792320396816e-11,1.2165286614537347e-11,2.9762996366802754e-10,6.63679987359277e-10
ch17,9.53871024801552e-07,4.7699145367482224e-05,-0.005594897576424023,3.581361044766516,1317,1.1090207853228271e-10,6.302728927642381e-11,7.1559794761387555e-12,3.279834216587607e-10,1.5238344881045411e-09
