,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-6.949441310580546e-07,4.088752750525354e-05,0.29865049946254485,3.3677954569668387,4634,5.371558485471209e-11,1.3241949114422214e-10,2.1279525906289485e-10,1.8707106397057414e-10,8.374607047582693e-10
ch1,3.8364496430987464e-07,5.5733592807962254e-05,1.0192949936105762,8.624565684513772,3944,7.62708825461824e-11,2.9065937459032434e-10,7.233177533225668e-10,3.43422733351022e-10,1.2884254522109533e-09
ch2,3.728484627217647e-07,2.2933722438992498e-05,-0.1693060450180077,1.0336615955705994,4026,4.9754029802372725e-11,6.73988575901333e-11,5.37321965034735e-11,1.2210889500526464e-10,2.0508350654793222e-10
ch3,6.26906699474883e-07,5.358785399544964e-05,0.44364116539999826,4.08384547672631,3506,6.542452748055013e-11,1.4509019036376082e-10,3.6330977606889157e-10,3.2713552025054253e-10,1.5002004203572437e-09
ch4,-4.646426875967894e-07,2.458042947598035e-05,-0.4478841838718399,7.43523318090045,3593,2.7582966987767266e-11,5.493304782300402e-11,9.561777456532736e-11,8.67805918686913e-11,2.2395958228676687e-10
ch5,-1.1827180232924856e-07,3.073931086351251e-05,-0.10003280573729334,1.7151017756508953,3337,9.335614362721027e-11,9.550180038569587e-11,7.623372690256738e-11,2.085758637578471e-10,3.93879590412469e-10
ch6,6.912102270978108e-07,2.51377941585763e-05,-0.1996289488647439,0.5738894523686797,2660,7.058491436114376e-11,4.8218639422891453e-11,2.5682616717467137e-11,1.4801894039388658e-10,2.8716416592181185e-10
ch7,1.1520952240009788e-07,6.527872998734076e-05,0.6889211509077294,9.404841802221807,3839,6.545759424884167e-11,1.900068858819791e-10,4.0230353862491894e-10,3.171224011078561e-10,1.866498871136904e-09
ch8,-2.5747703480018174e-07,2.4104255087684914e-05,-0.27703719790004894,4.662398722547403,4872,3.230918581643865e-11,8.320698838763371e-11,1.641869382395893e-10,7.599927601678504e-11,1.8544303426719104e-10
ch9,4.0222726869704047e-07,3.0691977621740886e-05,-0.3277942390260008,7.314561995784548,5576,4.765241886259106e-11,1.851947651651332e-10,2.763831122360393e-10,1.0575046415290936e-10,2.7086644947564625e-10
ch10,-1.8052561775895274e-07,1.9214387110698375e-05,-0.0020684123722721237,1.99196047466405,2548,2.22861176946616e-11,2.6660842387279574e-11,2.8431367979972058e-11,7.365584954398685e-11,1.9089451873335272e-10
ch11,-3.355622164573195e-07,7.309589562269058e-05,0.5101782793533176,9.539728299179318,3604,7.705338714734414e-11,2.0633882578980652e-10,5.15227480819279e-10,3.416647391109745e-10,2.3691872343500593e-09
ch12,1.816680951455812e-07,3.9422789831094445e-05,-0.35881399056466523,6.026150564303256,5000,4.811287613396938e-11,1.9391458767666476e-10,3.4300916992427085e-10,1.361060706315817e-10,6.324858568206614e-10
ch13,6.607184984131781e-08,1.5635209157625886e-05,-0.08708885783643117,1.216389248251681,2973,2.043037991898758e-11,2.0289657608826846e-11,1.826020069053384e-11,4.7713887791433405e-11,1.0765656922118941e-10
ch14,1.480493159001192e-07,2.815224574337146e-05,-0.49257571932392336,5.752123231134924,5855,4.4143363403423466e-11,1.290587900720765e-10,1.9407073184396025e-10,1.2004130310153747e-10,2.481822448792426e-10
ch15,-4.637276358117797e-08,1.426788367261473e-05,-0.07626418960827983,1.1062101485459719,2527,1.8094075102291622e-11,1.5384425824111024e-11,8.99279676969138e-12,4.4298773314845104e-11,1.0037078050977379e-10
ch16,8.913333139177749e-08,2.1775554359066238e-05,-0.3141243640100806,0.7260177171693738,2527,5.397017179726614e-11,3.4663290353804676e-11,1.470673031242685e-11,1.1199627001123904e-10,2.2567001734037537e-10
ch17,-4.244827120001823e-08,1.608076258846116e-05,-0.13443024979099788,0.8899730874088467,2304,2.5088247643737912e-11,1.707073335355331e-11,5.619441904410508e-12,5.165174460982215e-11,1.2959529626858686e-10
