,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-3.250487052343024e-07,6.434977118308303e-05,-0.2373359887664533,0.7258836145904599,801,4.904922734712429e-11,1.9806462415731205e-11,3.543267573372481e-12,4.1879359621263e-10,3.17214536777222e-09
ch1,2.0510771283330313e-07,7.954541694682646e-05,0.3786694280635743,1.9823520462514272,801,6.212182807969e-11,2.5018496887197063e-11,3.713039376320606e-12,8.637151584401075e-10,4.604797145313354e-09
ch2,9.143105890609936e-07,6.484455168059082e-05,0.01019838642562051,0.3565192784784217,772,3.901144515922816e-11,1.3246666570072674e-11,3.1699630194821783e-12,4.850744178007551e-10,2.9508270772445618e-09
ch3,3.331413452879038e-07,4.424148918460962e-05,-0.00901985904420735,0.7756747455769446,1193,1.9461474393801203e-11,1.2676030280026795e-11,7.055176407542068e-12,2.0765366508953136e-10,1.3325596619486627e-09
ch4,1.276022457901288e-07,6.967259822537442e-05,0.20577395660847472,0.6576156507780087,776,5.968718997580089e-11,2.3619141704812954e-11,2.9587258091828974e-12,5.629422370249879e-10,3.6977486407088157e-09
ch5,4.6990734052719806e-07,7.817183436163567e-05,0.22270949404717458,1.4835511448241387,708,5.126533777383739e-11,1.5798564414732056e-11,3.488706554378108e-12,5.471097154462819e-10,4.852619855104332e-09
ch6,8.61991095263211e-07,0.0001012280807106984,-0.14601318102768868,0.5995903390094668,719,8.244423049123873e-11,2.641771042230211e-11,3.776636742549289e-12,1.0941880613338502e-09,6.9425240912655354e-09
ch7,-9.401022715326988e-08,6.385383274492476e-05,0.29447571513419274,1.3241027650497763,824,4.284225389872161e-11,2.0260537056535917e-11,2.809568322562863e-12,6.001705093476937e-10,2.924201997192755e-09
ch8,4.099651359608818e-07,7.490021070029512e-05,0.07636263032350497,1.2466034833523914,755,5.2911982430199985e-11,2.090205637975671e-11,2.5003901821120845e-12,5.298360876770283e-10,4.211768971557955e-09
ch9,9.403241640107458e-07,6.276490375900148e-05,0.3115100206336074,1.1623438371346175,697,2.875434709228458e-11,1.1361790221565626e-11,2.0370991308752896e-12,3.388914383397673e-10,2.9825716107311854e-09
ch10,-1.3520594520225646e-06,0.00010510613549687969,0.13314481240545953,0.8139564560700228,704,1.009634548046396e-10,4.0763131030925396e-11,2.952245573493504e-12,1.1285473415355573e-09,8.32510572558413e-09
ch11,-6.394379520683737e-07,4.6210770938223274e-05,-0.1817680182126116,1.1610415035300177,813,1.5360892254002622e-11,1.0341453474373011e-11,2.9149052043095114e-12,1.7123968756912198e-10,1.470213278634702e-09
ch12,5.506077097141884e-07,5.1076455291339335e-05,0.06407080975159889,0.8081708706384676,700,1.7771148734062426e-11,8.18879285943936e-12,1.7723323534073942e-12,2.2134625916581208e-10,1.7616107355886878e-09
ch13,6.191120065182931e-07,7.555699416711577e-05,0.22151654127038087,0.6171969000219941,682,4.8048712169991766e-11,1.8844782791252314e-11,2.3044172091299527e-12,4.2549841798022147e-10,4.407392166698949e-09
ch14,2.5620678041221046e-06,7.114531838942936e-05,0.351529022691456,1.5355038191044992,763,4.366325866220822e-11,2.1087559591050444e-11,3.624471877149711e-12,4.950214237919182e-10,3.576722228875046e-09
ch15,2.166730933730661e-06,6.546053205553696e-05,0.31600215447621544,0.8437425761962243,743,4.0943729738921705e-11,1.7089136888849255e-11,2.2908905423212885e-12,3.83186676013715e-10,3.1809809291043517e-09
ch16,5.552671333446198e-07,8.290120363152162e-05,-0.15237497669806183,1.508958103625715,723,5.806480617523835e-11,2.0587341321171846e-11,3.2857180868892176e-12,6.583352949647736e-10,5.1094783970580725e-09
ch17,1.6103305934943756e-06,8.368286827984379e-05,0.22888376524746334,1.133574183040115,770,8.379486722111546e-11,4.237417798199836e-11,3.826766509427557e-12,7.759043194091901e-10,5.670421313430064e-09
