,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,7.682517205567726e-07,9.170270818278812e-05,-0.3024381660783509,0.7286656603181818,660,6.33199563837825e-11,8.268881755246489e-11,2.2258082830206465e-12,4.948635007564076e-10,6.883117886790363e-09
ch1,-3.4009906799601406e-07,6.158968067145195e-05,-0.001734549663697206,0.24565485882209748,1052,7.606825194235425e-11,2.753498536516505e-10,2.077291882067671e-12,2.9462254878169e-10,2.879659456162879e-09
ch2,6.653037036719165e-07,5.5508419702263745e-05,0.06380437965893776,0.9248780965887788,951,7.88990165449371e-11,3.813605188200497e-11,2.888481544480473e-12,3.2368215458467933e-10,2.20131125100258e-09
ch3,-7.340450127515774e-07,5.912958767376438e-05,-0.04107124226720488,0.2090301441732576,879,6.004557737791175e-11,9.086070565000725e-11,1.5749289056528986e-12,2.5693692783391405e-10,2.74903189417697e-09
ch4,2.378011819695758e-07,8.112483948122689e-05,-0.010243707269313583,0.6569675327196269,852,8.479430770182264e-11,1.8415401670048996e-10,3.0790027410008607e-12,4.457015042922141e-10,5.379996258974472e-09
ch5,6.353252064886557e-07,8.00435135268615e-05,-0.1436682310636103,0.9413468627709669,731,1.0474901432916633e-10,4.8257223491487536e-11,3.0220965680773802e-12,5.816110124966358e-10,4.392391211610613e-09
ch6,7.921598862108024e-07,7.958558748154363e-05,-0.01873853435102694,0.5235249631570937,760,1.039018527944289e-10,5.4470979799436855e-11,4.3442890002912715e-12,4.6497030829009425e-10,4.963908735959189e-09
ch7,6.607138828238312e-08,5.494726699607065e-05,0.1724336608976565,0.7126185883605873,1092,6.553254682013965e-11,1.911531853169676e-10,2.5992911858395397e-12,2.518782087444018e-10,2.2297450687993803e-09
ch8,1.6769648096213968e-06,7.151340649530315e-05,0.06131495743075983,0.9020402099418403,866,7.279896409828459e-11,1.3414955857736955e-10,3.19447568859398e-12,4.1266326642474175e-10,4.174409218446459e-09
ch9,2.6783118253711877e-07,5.3535183195727605e-05,0.2701735953041906,0.9066831630491827,808,3.478441128162698e-11,2.2495180939327472e-11,1.6643886033462133e-12,2.567600634956501e-10,2.1535636168418668e-09
ch10,1.327315215342252e-06,7.775704723683548e-05,0.04557423917427228,0.4509734056303194,933,8.446664496711734e-11,2.3064335422788875e-10,3.3730222882964027e-12,4.419154515492286e-10,4.829697458165223e-09
ch11,3.690531629634095e-07,6.418748510409688e-05,-0.18181059740487454,0.5443666913747887,837,5.914505798032943e-11,9.700231430099915e-11,2.524193441693836e-12,2.3761169203737506e-10,3.3480558931232043e-09
ch12,1.1091045102174968e-06,5.6323599204230534e-05,-0.16261079347277624,0.23091381821859036,767,4.3270273823079295e-11,3.294812872352893e-11,1.834108485094058e-12,2.470619527576504e-10,2.641588300036272e-09
ch13,-1.1826277879227016e-07,5.433080910771229e-05,-0.013941703534735924,0.49330606055426696,790,3.685154226060868e-11,5.145273591538204e-11,2.5092837754892056e-12,2.1683018904634635e-10,2.322861336723033e-09
ch14,-3.0738376825949994e-08,5.7609660825368944e-05,0.07007089972548386,0.7145301125284118,778,4.411185858992111e-11,2.7781511632703765e-11,1.3992407056775193e-12,2.8018044368564793e-10,2.5682102710100636e-09
ch15,1.3603800955968586e-07,5.018753951392403e-05,-0.11804129213975179,0.6510312889334955,819,3.982729526297163e-11,5.5766228482865706e-11,1.7863846066859982e-12,1.8118490134319224e-10,1.962155081710426e-09
ch16,6.085950471768734e-07,6.124184679044044e-05,-0.06422773191381621,1.084415886326104,879,7.35454345063323e-11,4.6892982162323385e-11,2.8006315559378943e-12,3.4144837087460445e-10,2.800425973345514e-09
ch17,-1.4327937099818972e-07,6.25687898022431e-05,-0.08017956503199052,1.2463496245712875,957,6.447630462614383e-11,9.62593830340648e-11,3.8851176836274096e-12,3.3211366490793417e-10,2.9638528249699567e-09
