,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-3.073038655501283e-07,1.3169799412682662e-05,-1.2568152222153224,19.389990675523062,2035,1.516915697223493e-11,1.163261584806487e-11,1.398608096644105e-12,2.4230574480270685e-11,8.895973558495684e-11
ch1,-3.770943441972349e-07,1.941715558362221e-05,0.7751491231963252,13.953122793836517,2074,3.775747862780715e-11,4.604774523979516e-11,1.839169807463935e-12,5.474695763554767e-11,1.990730681789577e-10
ch2,1.0277688857166167e-07,1.872886982566277e-05,-1.343942671832399,17.17816102445922,2173,2.3754772974943883e-11,1.6503969133631453e-11,4.749137602418266e-12,8.3411817761501e-11,1.610059887478843e-10
ch3,-1.831616858669605e-07,1.7399840052398937e-05,-2.612373536196944,34.79855209733251,2034,1.7688081155685424e-11,1.1882525247438642e-11,1.3310778571980592e-12,3.422805167619944e-11,1.5646540092230257e-10
ch4,-4.048455211675612e-08,2.3317040235458646e-05,-2.32067446261276,31.291465664003894,1938,3.588174861495766e-11,2.349918270476917e-11,2.7342842126355017e-12,6.90656166060673e-11,3.0675961002034105e-10
ch5,2.809317023290195e-07,1.4212391993076691e-05,-0.14456499493195094,0.714971458779392,2003,2.1135851334180845e-11,1.651985132679421e-11,2.806004657545056e-12,6.344685394545796e-11,7.934728921111143e-11
ch6,-1.7107600732819667e-07,2.675522338883481e-05,-1.9390501078626257,20.143895090738567,1775,4.174896874777166e-11,2.392582227528922e-11,3.5830835442643217e-12,1.4572396209403657e-10,3.395180029727113e-10
ch7,-5.208106955476673e-07,3.26817445020718e-05,2.195400571815101,25.97097839449203,1898,4.6174714911540473e-11,2.8162547426900214e-11,2.3255803284658646e-12,1.6280785682192407e-10,6.603547414926555e-10
ch8,1.679706645803275e-07,2.634200706192376e-05,-1.3098117818956292,29.170569657328194,2002,5.288667236112223e-11,3.3073409364601167e-11,3.799313059331966e-12,1.125964296235301e-10,4.1032696148251665e-10
ch9,1.9078594518647664e-07,2.040341431098743e-05,-3.0742721142124037,39.64446566998615,2050,1.6780671349120145e-11,1.1249328271249565e-11,1.7883618675182927e-12,5.847119408975407e-11,2.2096221307178628e-10
ch10,-3.9475550265635645e-08,3.6696219199087594e-05,-2.4127458220105944,34.3928291485018,1779,5.02231020863252e-11,4.445669140727319e-11,3.0554210914770874e-12,1.4694565467511393e-10,8.255748006632136e-10
ch11,-3.215580596048261e-07,1.2983095376173992e-05,0.24424827289972595,10.948191703637164,2262,1.7038015306154784e-11,9.67741457168949e-12,1.4747814704150392e-12,1.9538962239947004e-11,8.888708155795354e-11
ch12,1.1668123136463899e-07,1.3504787703193203e-05,-1.4178875717167576,27.03341895375385,2328,1.611752740052805e-11,1.3046757416588222e-11,2.0093412374349665e-12,3.056475868837774e-11,9.776264651604582e-11
ch13,6.162249117632822e-07,3.789011273852393e-05,-1.7071296869695978,21.82934021072809,1678,5.3124338018495484e-11,3.287689541978932e-11,2.64023173655633e-12,2.2822087594500808e-10,9.152547604103126e-10
ch14,1.5433537573245392e-07,1.4024381991439099e-05,-0.10928942198957402,1.038641506616334,1971,2.0512355617448944e-11,1.7032052748914538e-11,2.0485692172194515e-12,5.017452232065322e-11,8.524557142658379e-11
ch15,2.0763958518502688e-07,1.593448626437901e-05,-0.36992352553622704,5.684972674913666,2065,2.1846152943058964e-11,2.428802505603039e-11,3.0866400636272108e-12,4.437974170173162e-11,1.1639573064652479e-10
ch16,1.5344415374024558e-07,1.843912217381557e-05,-0.40423863951329553,3.15393148685041,1928,3.495260600572083e-11,3.388087405904537e-11,2.719717560705868e-12,7.877714729721681e-11,1.6228571149388093e-10
ch17,5.871619540197651e-07,2.9583646293031026e-05,-0.8843404890712266,11.181357060144578,1796,4.891066751314008e-11,4.517826029820537e-11,3.7567026156397484e-12,1.621816946660137e-10,4.87492456734855e-10
