,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,5.092575348476041e-07,2.0525575413106297e-05,0.12770390478315655,1.2454300890612133,1492,1.7071082479002712e-11,1.462887422287258e-11,3.525616133184772e-12,7.732827932673776e-11,2.399557684880351e-10
ch1,1.0518650132225659e-08,1.7858645412676094e-05,0.23559863387968835,1.5460110414322648,1818,1.3636754426956467e-11,1.662945372962383e-11,4.620208594306482e-12,5.0216280664364255e-11,1.9089996275883657e-10
ch2,-2.8907482100218905e-07,1.8179183741472226e-05,0.06589786913964718,0.9346511546834932,2014,2.2270831598927993e-11,1.557720761054481e-11,4.445804219993966e-12,6.24947149601361e-11,2.0461095783428228e-10
ch3,-1.3931944357945235e-07,1.8456575526364512e-05,1.1721594886513154,10.972006263131957,1779,1.0428285967012552e-11,1.0361299887825095e-11,2.8881974366940646e-12,3.426901874322451e-11,2.160364312550812e-10
ch4,1.5547774142944088e-07,1.6444066039031953e-05,0.01571643509687287,0.45842036633869165,2040,1.4990171910478682e-11,1.8077974745480815e-11,5.239539716452642e-12,6.986743237904143e-11,1.4379839758182184e-10
ch5,-5.586158719399901e-07,2.398361858829778e-05,-0.0347841735100891,0.47928398901004865,1628,3.498316529203459e-11,1.7840539697314013e-11,4.052520579176254e-12,1.2539777668356118e-10,3.353374292217519e-10
ch6,-7.525655247660225e-08,2.0234825722944033e-05,0.048644709140590166,0.4383609552959147,1945,2.99823465954824e-11,1.723838175378887e-11,5.498608563295521e-12,8.387109364275865e-11,2.3426256077946936e-10
ch7,1.2195532401724415e-07,1.859938020941457e-05,0.24824161263562236,1.7214292201375327,1827,1.3323998233212777e-11,1.691018939730544e-11,5.20177267383004e-12,5.264256991889946e-11,2.117118959457165e-10
ch8,2.5228803637892656e-07,1.6592455473347413e-05,0.041592937275909486,0.210380369170585,1996,1.5514421656789335e-11,1.612083627297598e-11,4.691741692144318e-12,6.991106273507352e-11,1.4982844362551775e-10
ch9,-5.331779063983659e-08,1.7420001455555043e-05,0.020346188363628438,0.09388780400685848,1780,1.646592649744254e-11,1.6974088241896348e-11,3.150456523764932e-12,5.891497509121307e-11,1.754991174350824e-10
ch10,1.7441884408472853e-07,1.838016903179933e-05,-0.02245822610554857,0.14439314967815964,1802,2.0896028982511032e-11,1.890263152320913e-11,5.241595833409636e-12,8.491278459690361e-11,1.8058197795259123e-10
ch11,6.605627875092327e-07,1.792775739466217e-05,0.5849200366969887,3.008300772042854,1896,1.1948609762604362e-11,1.3914594406474567e-11,4.734476981204643e-12,4.107963618430531e-11,1.963612489925831e-10
ch12,4.454798385130686e-08,1.7084246068676995e-05,0.25312954708288443,1.2788386133154166,1845,1.4843687674375877e-11,1.6882185762229553e-11,3.5622536226400834e-12,6.385077104687387e-11,1.6800441653093172e-10
ch13,6.506556215370315e-08,1.57013600752318e-05,0.044286565991327194,0.3585347120263971,2033,1.3473939462694675e-11,1.3074053507001378e-11,4.074844253660559e-12,5.775538797492869e-11,1.4104216440017658e-10
ch14,5.25612724392747e-07,1.6916475568324872e-05,0.13460601207925982,0.22828314823355011,1661,1.5845089857956796e-11,1.254606788238746e-11,2.1887127598437306e-12,6.68012554320201e-11,1.6365553572515863e-10
ch15,5.6172118320463136e-08,1.5103897597874258e-05,-0.01336781912629114,0.16665469155893797,1969,1.3551313816588479e-11,1.2181041822900869e-11,3.739658671534488e-12,5.717308996395148e-11,1.2061839622343205e-10
ch16,1.0908378545461264e-07,1.768418086024237e-05,0.20538746766020835,0.9405585523016549,2143,2.355587697720769e-11,1.2216840010750158e-11,4.59954323755986e-12,6.815439317088042e-11,1.7262366695197294e-10
ch17,-5.494175164508544e-08,1.8696925670896246e-05,-0.0011900844129334827,0.25996595636217634,1918,2.146405576054339e-11,1.7569460164438354e-11,6.201686968311755e-12,9.373961943570694e-11,1.9053617008965919e-10
