,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-1.0727386307172623e-06,5.5939647762064474e-05,-0.06819184554822792,1.2162413748248593,960,1.0047480336196429e-10,4.5330700075679876e-11,4.246947086364228e-12,3.8814898347157214e-10,2.3029406163341744e-09
ch1,-1.131444903161011e-06,7.2933955448628e-05,0.0071239542020751995,1.4205931927258302,868,1.123598663054344e-10,6.327226523494332e-11,5.543692744589497e-12,4.900525130588483e-10,4.134094088803246e-09
ch2,-1.9110630960226157e-07,3.853549428930962e-05,0.021232475148026383,1.11143212237031,1310,6.969956034642497e-11,5.217990232678109e-11,8.87134408022856e-12,3.0399009784405716e-10,9.248396130619998e-10
ch3,1.946183889766394e-07,3.4055850552519846e-05,-0.18414697981423853,0.9714294631408951,1234,5.940285226637191e-11,3.340179591428992e-11,3.3180426828991118e-12,1.6187948342041647e-10,8.410803667108236e-10
ch4,5.9458359040530276e-08,7.470865592477224e-05,-0.20761652105830433,1.0942258384592884,1020,1.0877930839478885e-10,7.578514273636575e-11,9.963003478527429e-12,5.090916693574088e-10,4.439131461505205e-09
ch5,4.294879849171461e-07,4.8611805124483704e-05,0.032985547595698474,1.533537338615278,1310,1.1138236656943045e-10,6.901267245437816e-11,9.93131691908544e-12,3.97695480028668e-10,1.5651152749543742e-09
ch6,1.9316460028450598e-07,4.9163745450862934e-05,0.08975573655329531,0.9986304926506695,1224,8.853297924734609e-11,6.525160602094588e-11,1.2388271255896025e-11,4.3116654694506717e-10,1.5784057265682435e-09
ch7,-2.3521566206510565e-06,8.581632522779758e-05,-0.11583411188653782,1.3254786832873897,879,1.2344595159724887e-10,6.965200054716894e-11,9.120103119257532e-12,6.347334103137519e-10,5.79368926366115e-09
ch8,1.5142321192989965e-06,6.900967792833008e-05,-0.1571619085619837,0.8998926899616535,1050,1.2018831211270122e-10,9.61385766806073e-11,1.083797528342995e-11,5.675281523900222e-10,3.6157874436868657e-09
ch9,5.020057955417863e-07,4.508568423122377e-05,-0.07685092876204107,0.9504779622675059,1123,7.26666846894999e-11,4.0516166570985545e-11,4.935503630245734e-12,3.7506084379595315e-10,1.3107879284153056e-09
ch10,9.063767695230178e-07,6.804035417611985e-05,-0.2615982072890132,1.239133158463991,931,9.06636630214827e-11,6.004829843475822e-11,6.8929105320451504e-12,4.891440055195873e-10,3.6327856165205203e-09
ch11,-9.045624875965262e-07,4.340738427010911e-05,-0.21560816829792032,1.0634197510517698,1147,5.515817042716267e-11,3.733461281958282e-11,5.805726509587279e-12,2.5808853258227026e-10,1.3896158780674102e-09
ch12,5.813437342308557e-07,5.565792774887192e-05,-0.16322970430415173,1.1672935675810692,1123,9.438308338008515e-11,6.102057003716258e-11,7.83140791600298e-12,4.0684032009137067e-10,2.3526500427225185e-09
ch13,5.983781635828636e-07,5.937679128800155e-05,-0.026161466014449762,0.8273303310313871,1073,1.133467607666758e-10,7.339876069022606e-11,7.407792504763703e-12,5.233621037076127e-10,2.514248456164001e-09
ch14,-5.256713479035286e-07,5.3587022452518937e-05,-0.13539177742860786,1.6353173087473536,1173,1.12669181026578e-10,6.036435022968417e-11,8.602658393209002e-12,3.195237223943455e-10,2.031019372664219e-09
ch15,-3.16115491149832e-07,6.61013841549045e-05,-0.06104045955226123,0.8817404959923043,1025,1.3131619064612675e-10,8.884653115215891e-11,8.67189131470137e-12,5.466244223468869e-10,3.219832776031669e-09
ch16,3.98605082995429e-07,5.853367351813029e-05,0.2736886166571403,1.1813478387709297,1157,1.3147023889481856e-10,8.760855360825931e-11,8.358414747451907e-12,5.085754864047237e-10,2.329866909707909e-09
ch17,6.406924808084976e-07,7.519968317713907e-05,0.052327270031132335,0.7504413632401286,935,1.3009281029531945e-10,8.345773021223393e-11,8.69493331083083e-12,6.890213694386284e-10,4.251234538140065e-09
