,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-5.734305933271384e-07,5.8360506394923075e-05,-0.09605867713371556,2.1076883517471368,790,1.796966698521845e-11,1.200513164957454e-11,1.3123379775018876e-12,2.888455032027002e-10,2.7818665054720514e-09
ch1,8.614167573930577e-07,7.345501919874449e-05,-0.12708587459862944,1.9450276040157402,844,3.326999102402728e-11,1.3318516743616616e-11,2.486781223157092e-12,5.311838223767411e-10,4.3863646720220195e-09
ch2,-8.248597178375097e-07,3.841699597089425e-05,-0.04438770365298343,0.3401925702668427,1229,1.7359445030556405e-11,1.1794282643826506e-11,8.227438783446349e-12,1.9560998421653443e-10,1.128417192008007e-09
ch3,4.996409236688584e-07,3.458012356894064e-05,0.12027247996861176,1.3782911236601567,948,1.2255139344612599e-11,7.929835351951977e-12,1.9856731448375643e-12,1.3146940836678758e-10,9.8048372765302e-10
ch4,-8.237111472330649e-07,7.220369033605946e-05,0.09965854615084946,1.304052433185178,852,4.650749142475715e-11,3.2383593576707126e-11,2.812218279473172e-12,5.377358753952923e-10,3.987042774710516e-09
ch5,-3.585258483733671e-07,3.677701436987629e-05,-0.03527860145443903,0.6385531754102227,912,1.3066578195277977e-11,7.089671406311537e-12,1.6166642615685261e-12,1.4444491721430314e-10,1.0737094731058811e-09
ch6,-4.5576028702303266e-07,4.536581941618805e-05,0.09850252473824062,0.36455764553395786,1218,2.601108268552525e-11,1.4423156258356248e-11,9.359812719790432e-12,2.743928908012787e-10,1.5541234402815872e-09
ch7,7.036550265204456e-08,7.864113233256703e-05,-0.17618821184793318,1.3993271766905861,829,4.030686718967598e-11,1.660689662629737e-11,2.3466572478613024e-12,5.727437461981559e-10,5.312797366946857e-09
ch8,1.099687157558979e-07,5.527668510623758e-05,0.21692773589151876,1.2329063390223087,851,3.3615137104815804e-11,1.4624613212641253e-11,1.7254324268332562e-12,3.19930354391138e-10,2.4112557165637455e-09
ch9,1.0551728150590942e-07,4.204451981754463e-05,0.042500409580099485,0.2075591391390459,841,1.4423744967333478e-11,8.166720013249452e-12,1.1475611912330434e-12,1.510703755402284e-10,1.5441298052168673e-09
ch10,-1.068542819864261e-07,8.417884537123644e-05,0.23500137052850975,0.8126023457913396,842,8.817100732426447e-11,3.646256123069681e-11,3.4730875818105503e-12,7.50320034106881e-10,5.4011799755967105e-09
ch11,-1.1508598529262037e-07,4.119794861940664e-05,-0.011958574822149785,1.0320177715179755,916,1.2606310675817837e-11,6.940744496821884e-12,2.0540512947644125e-12,1.3480083396834896e-10,1.4018321483349743e-09
ch12,3.6646177401367e-07,3.771912278754528e-05,0.06700859447512376,0.8993973447212338,868,1.1916437598452498e-11,6.505801690622438e-12,1.1979972845315713e-12,1.2696297997865242e-10,1.1984084490007262e-09
ch13,-1.4462273234254557e-07,4.6743738467390736e-05,0.09598206439709386,0.6033862627410973,904,3.086057610090372e-11,1.304491165538789e-11,1.6515195979586707e-12,2.4453547945317167e-10,1.7958037824853802e-09
ch14,1.2661793140949855e-07,3.417801821691435e-05,-0.0672389214988573,1.0277519438398537,890,9.164963065022748e-12,7.24755344321563e-12,1.1202352558395076e-12,1.0525707072041526e-10,9.52054037700505e-10
ch15,3.809039580574399e-07,4.303045857323663e-05,0.083082999076929,0.6642548819612122,893,2.0392351039997624e-11,1.2166722305368003e-11,1.8763574616522316e-12,1.9646193419991206e-10,1.4580985847253712e-09
ch16,-7.362316650464218e-07,4.612662310468019e-05,-0.053383306522552625,0.46931185827476707,918,1.9655902612895868e-11,9.682012417355846e-12,2.2412601806785963e-12,2.1798542833632744e-10,1.69603859841167e-09
ch17,-3.6908402688084456e-07,5.963822327844191e-05,0.07617465364973376,0.2804656745026941,892,4.9454961742154416e-11,1.835057327428452e-11,2.330370043898155e-12,3.943768747764261e-10,2.7936712297221606e-09
