,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,1.1376525738233539e-06,3.8297958473432766e-05,-0.6394740775452867,3.189819463816792,1080,2.978247620249311e-11,1.6074805231647456e-11,1.5695064958142274e-12,1.3957185568148552e-10,8.16263532055827e-10
ch1,1.819963708920782e-06,4.947831629475168e-05,-0.09349818090487551,2.1821182219584943,1199,1.640531612525546e-10,7.62727701939342e-11,1.3659528458943224e-12,4.690403059148732e-10,1.182694802180015e-09
ch2,1.270057449905697e-07,2.9895359584100825e-05,0.025204401224378697,0.9304087094760791,1403,5.272216002341925e-11,2.6675172973708533e-11,1.7554072414858709e-12,2.4426800596773124e-10,4.476575751913773e-10
ch3,1.4521627394272907e-06,4.2701802959203776e-05,-0.6657180121131729,3.5977110444640124,992,6.477625103803096e-11,1.4996424022149968e-11,1.3835096158702505e-12,1.8246389922717253e-10,9.632390788546027e-10
ch4,1.4557028383930576e-06,5.483259505785668e-05,-0.4828288868431011,2.27392816439467,926,6.990037216049767e-11,3.890093666784258e-11,1.453153033237615e-12,3.1937049183787943e-10,1.627590885531894e-09
ch5,1.7892616452489113e-08,2.5672113592738742e-05,-0.030992089260427277,2.039805207850179,1531,3.5573912017172246e-11,1.7845956428003567e-11,2.424920172986844e-12,1.6168262067755108e-10,3.379977889188088e-10
ch6,-6.421547072421144e-07,4.2924028770700914e-05,-0.30730403277409296,1.7342530889503758,1421,9.512971363722421e-11,1.0838918914253429e-10,2.0797452455412166e-12,4.831447324979172e-10,7.592116024656315e-10
ch7,1.7870930884554154e-06,5.774446081062604e-05,-0.10315320973915529,1.5652840704998559,1211,1.4478582487127747e-10,1.519072459680606e-10,1.0849276263253388e-12,6.686148055334444e-10,1.5304471288723767e-09
ch8,1.0746079463452602e-06,4.7000143819154804e-05,-0.36763834069100026,3.085078099777636,1104,5.5449949980961724e-11,6.039734274951104e-11,1.9362555707355527e-12,2.6865368755018684e-10,1.1289650221208696e-09
ch9,1.3031978466811167e-07,3.369594981390876e-05,0.41934839629690807,2.818021901458816,1276,3.9467655496054595e-11,2.789872941207526e-11,1.273336102626994e-12,2.628892824752766e-10,5.07590830338044e-10
ch10,2.1618972498747852e-06,6.270122669927079e-05,-0.49047279864253407,2.2236259121496786,1008,8.453875767167497e-11,9.918095978423968e-11,1.7004370946969814e-12,4.2929807838055974e-10,1.936873185131434e-09
ch11,1.5441965504206175e-06,5.9573615816135946e-05,-0.8267465293804439,3.9325879813814044,849,4.645786510445602e-11,2.1839321994675644e-11,1.2744352800854055e-12,3.1435036038879113e-10,1.6245367914770441e-09
ch12,2.541789490642499e-07,3.36392511071005e-05,-0.3858029518784905,2.0694022089383246,968,1.9165108480650236e-11,1.4124634393396428e-11,1.4314411325286244e-12,1.1041538379766371e-10,5.813240737507499e-10
ch13,-1.7032317628171076e-07,4.096900696030992e-05,0.26656860658147435,2.5352458017117447,1389,7.27143796239528e-11,8.006412653953636e-11,1.9351137493392963e-12,2.9356703935058557e-10,8.086758224772507e-10
ch14,1.6467558221493551e-07,3.704776742869211e-05,0.10423455146215124,3.1492113805536572,1234,3.9524590959265475e-11,2.2105819152264323e-11,2.4012626685122647e-12,2.7974965553602834e-10,7.058432831246467e-10
ch15,-3.5070895612421994e-07,3.80532701230436e-05,0.28376403253611293,3.3965761105003667,1243,5.323348970242669e-11,3.475066370996682e-11,1.2845194497711484e-12,2.372549492374319e-10,7.37607945563311e-10
ch16,-1.3918819126870068e-07,3.5004395511942905e-05,-0.597065654115166,3.100904202464524,1431,5.257097155587516e-11,3.9775031284631735e-11,1.7931390557532365e-12,2.590025936863828e-10,4.93825517007665e-10
ch17,-5.507681438147293e-07,5.59119473285157e-05,0.16857350933592327,2.5472627728366604,1245,1.2920938152289295e-10,1.2398229218814469e-10,2.7547859819678124e-12,5.356337061666982e-10,1.5401228354108093e-09
