,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-1.213424390560539e-07,9.636613856475832e-06,-0.2373534362134556,2.1118795677815916,8.854439219402378e-12,6.153344707475601e-12,1.042426949488561e-12,2.0032189039685956e-11,4.5434627221612757e-11
ch1,-7.527098187617568e-08,8.12735726109601e-06,-0.01472738058129,3.389841712445211,6.609300174483149e-12,4.5914857211739094e-12,1.1700651036932585e-12,1.6465890228449153e-11,3.3834631322387885e-11
ch2,1.0742166515743595e-07,1.3155155430312377e-05,-0.1338879100525389,0.6064368521479988,6.457503809352336e-12,5.747955959897323e-12,2.4760576274477693e-12,3.0848757786359884e-11,9.328197244845037e-11
ch3,-1.3997611789072045e-08,7.594586799856278e-06,-0.6918367330699502,8.240596882795003,4.0626242655970934e-12,3.3350785511932088e-12,1.4058297965841283e-12,1.491978383877632e-11,2.966638677823147e-11
ch4,-6.433113535193731e-08,1.0222233159870185e-05,-0.09027623961800355,3.3527685817267434,9.439262753183181e-12,6.4916738993891136e-12,9.48866224693728e-13,2.2159574093220435e-11,5.45457411341655e-11
ch5,7.34546899922695e-09,7.682629734063414e-06,-0.08543412871976143,4.587186472802459,6.8533763511915835e-12,4.582463679549891e-12,2.162676863916063e-12,1.5585592269064605e-11,2.5361008998708543e-11
ch6,-1.1023322349103235e-08,1.888949007116544e-05,-0.21927694499172012,0.2015559170089336,1.649889959486631e-11,3.4273168853804126e-11,1.3299939064676006e-10,4.50387437013108e-11,8.840207864964745e-11
ch7,-2.3725685337793896e-08,9.023501916537132e-06,-0.02901904684212433,1.4913320119614966,6.064097914020505e-12,4.1696213710116e-12,9.692849071478762e-13,2.269981490075358e-11,4.30288755410503e-11
ch8,-7.068721291419185e-08,1.0675532503153846e-05,-0.08070014200813533,3.0661455732086953,9.976172272548794e-12,6.3024590185206155e-12,1.0241133375200592e-12,2.7276984486227016e-11,5.904911494125136e-11
ch9,-1.0098788708292604e-07,1.1831638865046435e-05,0.02425171309955309,0.7230095150231035,6.093138063492589e-12,5.508222347194058e-12,1.1819081485011745e-12,3.317551269847233e-11,7.995931632539713e-11
ch10,1.7951969196336074e-08,1.2514391612708977e-05,-0.07620771705262344,2.491244425661229,1.130181421900954e-11,7.99384211901854e-12,1.1384071073198007e-12,4.0333202029091695e-11,8.675801789295973e-11
ch11,-1.2508217936881368e-07,1.098947948407042e-05,-0.34048251949233227,2.0552264125269817,4.802861145811168e-12,3.449615714304628e-12,1.1102249070443174e-12,2.6911057124973074e-11,6.575737135956617e-11
ch12,-1.4655211934827255e-09,1.2775352271357081e-05,-0.1143052586981275,1.441288549890623,7.504544439240369e-12,5.224338311273499e-12,1.2090418726117997e-12,3.248782547838546e-11,9.376553779724892e-11
ch13,-1.9915467524046003e-08,1.8420372705985855e-05,0.21352262621242302,0.1570455083439879,1.2280081361132124e-11,3.004152920497663e-11,1.5493960472487984e-10,3.5133689128955224e-11,6.923617618995464e-11
ch14,4.613002199663719e-08,8.828231183430835e-06,-0.2146238577641656,1.6259269387312516,8.352702635329777e-12,6.9949963189246535e-12,1.007200055414037e-12,1.686572806861143e-11,3.807730527950646e-11
ch15,2.0374825062343097e-08,7.99916679184541e-06,-0.09813068630075401,2.61044206512807,7.552326837758958e-12,5.384392856959862e-12,7.959180842381864e-13,1.4015453788391528e-11,3.142134534272883e-11
ch16,3.972105761419609e-08,1.0210580933747532e-05,-0.040156017897787215,5.027093461330223,1.1393909872848921e-11,8.705723023417048e-12,3.0963401968777036e-12,2.2828375663012706e-11,5.0089930368543824e-11
ch17,5.8026583871189715e-08,1.3535324814381929e-05,0.016323023023870044,2.8523112134133326,1.7498966678509003e-11,1.0884318509338928e-11,1.2766990851106897e-12,4.8173613789271686e-11,9.363302281337789e-11
