,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,2.3397781457534884e-07,3.414516756121613e-05,1.0124055390123066,14.970548199873772,2.2698793033856332e-11,1.262911067659355e-10,1.6701379000434733e-10,8.200340158642244e-11,5.377505389407169e-10
ch1,2.616968936483191e-07,5.665596144856459e-05,2.1733028658177993,16.045349551662188,5.928619572384972e-11,1.2680883795178161e-10,9.85644467348512e-11,3.54165066942015e-10,2.0069286958171336e-09
ch2,1.5722540461988657e-07,1.8049791115566583e-05,0.1967319304126387,9.284981794789106,1.8971330655282625e-11,4.3091072352376164e-11,4.114424622274053e-11,7.635643688019113e-11,1.1180840312740237e-10
ch3,4.4769952798038233e-08,5.742139451853876e-05,1.9626089759836591,14.815729436917806,4.5528837324960796e-11,9.615264512285115e-11,1.322601229116381e-10,3.0807017056459335e-10,2.08300718659605e-09
ch4,2.974980601361437e-07,1.782338540374017e-05,0.6765209197056372,10.89085050207161,1.8653184057330154e-11,4.198144171484772e-11,1.8089019765823158e-11,8.701965856858195e-11,1.2339683739603274e-10
ch5,1.1589609334875258e-07,1.6437668431122263e-05,-0.14479760684463958,6.581803802435408,1.6057716684295043e-11,3.499658991758469e-11,3.090853013965919e-11,5.2768605480505895e-11,9.150924940302282e-11
ch6,-3.042668725409817e-08,1.636204780777376e-05,-0.04505986000339686,4.093193836470234,1.469733413185046e-11,1.9798319825396117e-11,1.4242150257956527e-11,8.023298440528247e-11,1.0079476831789958e-10
ch7,2.3696367554215155e-07,4.2262937116377536e-05,1.815687048434339,13.826196206027717,4.310667559141069e-11,1.5114635722580772e-10,1.0223244333053764e-10,2.0304628440359322e-10,1.0378719300438257e-09
ch8,3.2038261471686857e-07,2.0675192671884968e-05,0.5646540301570926,7.907839445968561,2.2749539028576038e-11,5.656285777519135e-11,2.2330484172991135e-11,1.1846591716484013e-10,1.573228459167502e-10
ch9,1.8180371533179586e-07,2.4694120356505965e-05,-1.1570455994047613,19.59224707208577,2.235455926915559e-11,9.742898108093018e-11,1.7501147641607309e-10,5.531390456325763e-11,2.0269536212944398e-10
ch10,4.4636887001638847e-07,2.32504467434375e-05,0.5986642933984498,10.704582107463866,2.424710396346713e-11,5.238782764313753e-11,1.1970113799745305e-11,1.6451862685289633e-10,2.0452906913225735e-10
ch11,7.101066641920388e-08,3.731566805458566e-05,2.0585052906482217,18.594927540277354,2.6525914195709002e-11,7.627719469398196e-11,7.627510789975007e-11,1.3289371131718907e-10,8.742526844421765e-10
ch12,1.2825034315385313e-07,3.2756882817910175e-05,0.7992177482691459,6.258232494774587,2.430863478195063e-11,1.000885502283983e-10,1.4994656256534497e-10,9.420311639705195e-11,4.923550948196286e-10
ch13,1.5106262118929908e-08,1.2225287379730221e-05,-0.00564402800773857,2.0739152470498574,9.767556714613831e-12,1.8075495080318683e-11,7.112535708018209e-12,3.998516989451392e-11,5.881156041552154e-11
ch14,2.8907585263162916e-08,3.101135089025588e-05,-0.4071656678355228,22.033821351951772,4.8342233159136814e-11,1.5396287349896357e-10,2.264743279929297e-10,1.1871262526273227e-10,2.7300804363746194e-10
ch15,5.390117030385251e-08,1.539592387806954e-05,-0.3406624750869357,5.147881962679541,1.774565187360824e-11,3.3982947255083815e-11,1.4123040916989089e-11,6.411426269609812e-11,8.313074923741738e-11
ch16,-1.824985682831957e-07,1.4295606808874691e-05,0.2831274299036973,4.628715072985398,1.1802455158394353e-11,2.00546176224044e-11,1.7621929492632715e-11,6.345022427149439e-11,7.813949682178871e-11
ch17,8.848942235221819e-08,1.9364279624361737e-05,0.2794872900714491,5.286620121114165,2.357168774656153e-11,3.6991521994345606e-11,1.217908819905824e-11,1.2556245101997536e-10,1.3400901596640213e-10
