,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,1.3968765892991872e-07,2.5147672888293863e-05,-0.021992494254789656,2.69780963793625,1.9245416392690782e-11,1.4696547784738488e-11,9.524899630091296e-13,1.8558198136306e-10,3.6489023737520434e-10
ch1,3.617636738718162e-07,4.170615805533267e-05,-0.1409573485486919,2.235913268495235,4.5787904343875953e-11,5.639654404924466e-11,1.6085661878174016e-12,6.088761807785974e-10,8.560744434762073e-10
ch2,-3.9861052291472516e-07,2.6839470999299568e-05,0.11631055308190867,0.5135471553261097,4.673225431020217e-11,1.5976043601197567e-11,1.5053665665423736e-12,1.9616393655647384e-10,3.992691471420763e-10
ch3,-2.830118550256037e-07,2.8947578261007402e-05,-0.5806865575220336,3.164186653637171,2.1678576186221467e-11,1.8685618046868738e-11,1.0831028806679552e-12,2.5307904986172123e-10,4.52074927077818e-10
ch4,3.0231115384635205e-07,3.796883373547397e-05,-0.1243400609760931,1.7775215832133577,5.605010137127149e-11,3.931305623667312e-11,1.5935904356581197e-12,4.987612329745719e-10,7.208059529339489e-10
ch5,2.1296632233725141e-07,2.850546036193374e-05,-0.05127851237123492,0.6275835021071119,5.4699840403365805e-11,1.5404696933464548e-11,1.6766751676968358e-12,2.635139209641971e-10,4.3742914952359814e-10
ch6,-9.165905637502354e-07,3.794992786684584e-05,-0.16763717922585675,1.4370887686281488,7.809499202464445e-11,4.6043651525696684e-11,1.7959314054726998e-12,3.4824184574285025e-10,8.130113453359205e-10
ch7,8.278318624411905e-07,6.362558333660058e-05,-0.7714121294280701,9.434974766196541,6.841281405736576e-11,8.36730684941329e-11,8.511933230855835e-12,9.412410756858437e-10,2.104937359731382e-09
ch8,-1.4919616646753792e-07,3.4395748100707926e-05,-0.05636970902468451,2.299633259407843,4.4638087458742614e-11,3.914572826954085e-11,1.9170133959509918e-12,3.41119576828092e-10,6.360025245805946e-10
ch9,-5.803841980019036e-07,2.72536235384146e-05,0.43617099986393415,1.633589497732845,5.4072275619278745e-11,1.490133114213486e-11,1.2276453909694109e-12,1.9048450214700594e-10,4.0937082114363276e-10
ch10,5.700120086355536e-07,4.5192859891964034e-05,-0.17305472736073968,1.4930677220100446,6.555843032256167e-11,8.002607572482512e-11,1.990804172234806e-12,6.775613139483824e-10,9.701052337183308e-10
ch11,3.47846253094107e-07,5.6855229934816586e-05,-0.9171363212014727,14.714360483541945,5.4107513296023455e-11,4.669630737712524e-11,7.95803024988238e-12,5.869117292140401e-10,1.768246052458723e-09
ch12,6.257836536642188e-08,2.5113349347639055e-05,-0.37217592310579306,3.12591759049326,1.3470572110272257e-11,8.752041250012944e-12,8.415189152831575e-13,1.3568010761173954e-10,3.612849575244904e-10
ch13,-3.1205553301993545e-07,2.8729930648588838e-05,0.21059535692470555,1.7288527747681437,4.4425203580766286e-11,3.584359899873566e-11,1.8564847055358704e-12,1.7660896488141121e-10,4.801226591917402e-10
ch14,4.4911407712003695e-07,3.307641864672875e-05,-0.0622069948254003,1.75476873486895,4.8878557550498453e-11,1.7312874624955087e-11,1.3220991088602794e-12,3.6015153255835314e-10,5.741648194569842e-10
ch15,8.279897458345548e-10,3.096370627293395e-05,0.04868353675907244,1.3124431001673296,5.436124375203399e-11,3.0097207121335765e-11,1.2914871298589966e-12,2.2444916026264434e-10,5.473641175107794e-10
ch16,-1.6223955675555435e-07,3.022487654595068e-05,-0.1366059265134489,1.0659156971480588,5.1734578930700526e-11,2.6088650684200463e-11,1.4959116654701172e-12,2.817976885878581e-10,4.5748236479513e-10
ch17,-4.7601424140267345e-07,4.70152760732108e-05,0.08395183253275905,1.3829082239675126,1.1267297062907271e-10,1.0166278926181049e-10,3.425417550499985e-12,4.5481259452313884e-10,1.2597621575836207e-09
