,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-5.327490908290375e-07,3.836672365356295e-05,0.1876405518513916,8.139194494438554,4.355713536849084e-11,1.2464296930893575e-10,2.1916496242664979e-10,1.7132024443860148e-10,6.925715088419399e-10
ch1,4.898935162448907e-07,0.00010968582040730739,-0.05116820691940689,5.499852630725652,1.2757497710268825e-10,2.0753859051251297e-09,6.339190050796754e-09,3.157318292293429e-10,1.805450739116119e-09
ch2,1.0517336174454331e-07,2.3843208361710554e-05,0.17193262571371684,3.3914785701985632,1.0783947541220035e-10,5.3833642840714016e-11,3.968147949488967e-11,8.36935976701366e-11,1.960683659567048e-10
ch3,1.0340925305243472e-07,8.353989293565841e-05,0.015115350818840821,6.64196261622585,6.543244668382161e-11,7.541350828472647e-10,2.3250150038079805e-09,2.800207702028898e-10,2.2447609047381876e-09
ch4,-8.806922974449159e-07,4.1857211674978e-05,-0.07743302140149821,5.0388997860833555,4.561363494404032e-11,2.2990165350422133e-10,6.934768262156339e-10,9.355425177138129e-11,3.842450090245096e-10
ch5,9.040247739399466e-08,2.9705563804247024e-05,0.2889942510673915,3.2709939764051894,1.066280910655638e-10,6.127750903835132e-11,3.8147566773699046e-11,1.7010391194328322e-10,3.714572737230049e-10
ch6,4.07492715151149e-07,2.422976462166404e-05,-0.09430934067399452,1.4719489865994095,1.447968011518793e-10,4.225856330038203e-11,1.8104504564685123e-11,8.598904103651812e-11,2.0154902981774912e-10
ch7,2.3924221440776357e-06,0.0002254847014151678,0.8517487659060546,12.542374236317565,1.5354550961549896e-09,1.7785158800891517e-09,1.6583694135696954e-09,6.106877949965443e-09,3.0174561006738775e-08
ch8,-3.9472982378203993e-07,3.72146080818979e-05,-0.3931904173742495,5.406193734815023,4.665447951437244e-11,2.2564686849493775e-10,6.964718784264376e-10,7.706511220907457e-11,2.1720830349850197e-10
ch9,2.0890330710447201e-07,2.336639913805336e-05,-0.3989123711734568,11.282811417942474,3.955820996356718e-11,8.092931433364307e-11,1.3780874983088094e-10,7.220303923697503e-11,1.5865877011490756e-10
ch10,-4.834953167457411e-07,2.9024707195305163e-05,0.17290311826469096,4.503486537059287,2.929164984903749e-11,1.0293046124043572e-10,2.745925411925083e-10,8.219045736455514e-11,2.645740594058679e-10
ch11,2.149076660779333e-06,0.0002195805254661859,0.8629770019176962,13.046898387119803,1.5475210925753581e-09,1.759043764490117e-09,1.3436581618547664e-09,6.134119150137877e-09,2.9485952789805887e-08
ch12,-1.806432661793701e-08,3.643694871062207e-05,-0.22551961113599714,10.458697149116633,3.195659707837837e-11,1.0627374191622e-10,2.1858864776902717e-10,1.0887798911567297e-10,6.094989568893376e-10
ch13,2.6480452857626062e-08,1.9220094346848773e-05,0.0915042528026426,4.588387685091967,3.175353103864131e-11,2.7614704464551608e-11,3.201431389210306e-11,4.408659543905143e-11,1.5767781266797845e-10
ch14,9.522879864653881e-08,2.226911720789693e-05,-0.8191752964352722,14.504420981737514,3.625229495620579e-11,7.055893251625397e-11,9.527901852103456e-11,8.33386114768133e-11,1.7968477173154888e-10
ch15,-6.175556212152968e-08,1.7518649280476962e-05,-0.12257697026067253,2.5304422165071774,2.758176087432627e-11,2.0529174107732126e-11,1.776421291913817e-11,4.8390142411204955e-11,1.320486302934219e-10
ch16,2.0233711011306084e-07,1.9921527206336094e-05,-0.072335299971088,3.0275130030722455,7.237475709017148e-11,2.822501361722487e-11,1.2998145055089171e-11,7.239824013373552e-11,1.7043317571599296e-10
ch17,-4.88290804777702e-07,2.6487587069113282e-05,-0.328064240334957,6.078279202597464,4.202725522510029e-11,2.363995750758566e-11,1.2620799406918135e-11,6.122471532079184e-11,3.3886752131193927e-10
