,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-1.200247426541306e-06,2.9535900102056204e-05,0.17821527367669354,1.5658068475598697,8.044474219719728e-11,1.1792239026840748e-10,5.209350863040288e-11,1.5329768864334245e-10,3.486643665379418e-10
ch1,-1.112867032359364e-06,3.147915452155007e-05,0.6294104368810715,6.06523923378864,5.637396016237509e-11,1.19410035983439e-10,5.885193150567588e-11,1.7794302696348926e-10,4.7013482353897e-10
ch2,-3.3035886697206673e-07,3.108182348068456e-05,0.40517732740372286,7.339943076875368,1.1040312546140819e-10,8.615487123572531e-11,3.0067075701558325e-11,1.4820109429598173e-10,3.660153144104405e-10
ch3,1.11389717575026e-07,2.5282151376459286e-05,0.7907167275604977,4.584423027709033,3.4636156750207075e-11,5.1600168364209797e-11,2.5429334703573857e-11,1.0702729184062215e-10,3.219257753212148e-10
ch4,-2.8587279291228087e-07,3.567746246519336e-05,0.23271755758008097,0.7221286767803909,3.675946905742794e-10,1.3320535843325675e-10,3.7466364445801484e-11,3.5176309594916325e-10,3.309715565908894e-10
ch5,1.1908239200460467e-07,4.827217293259493e-05,2.380030404380162,33.22615577653292,1.099776377853616e-10,1.2620546983666846e-10,2.478273725018165e-11,2.084230506802183e-10,1.343288433905724e-09
ch6,-2.6977291035484744e-07,2.9169505325497163e-05,-0.168307091066133,1.8264962483657268,1.699981029566486e-10,8.351597533932635e-11,1.9102193980526938e-11,1.7071689180353046e-10,3.270314298211799e-10
ch7,-1.1778855077752385e-06,3.657920856105184e-05,1.1922348132683662,8.485907262479971,7.070717854257478e-11,1.3899713045613972e-10,7.262820647411309e-11,1.7693411961182844e-10,7.587340474059086e-10
ch8,2.5525603197856807e-08,3.012947128024706e-05,0.20739225403830236,1.0607760688928405,3.431451410285628e-10,1.2335284722349778e-10,2.6395750442355783e-11,2.1374935226067485e-10,1.7462315444265437e-10
ch9,7.370872193005338e-08,2.6513587727202374e-05,-0.6676427771038907,6.309587490899922,5.849510668628277e-11,1.1388740462189711e-10,6.559710312164398e-11,1.220172162644832e-10,2.1965851204111327e-10
ch10,-1.2269224761965155e-08,4.2855759681930354e-05,0.38501524977966095,2.1378559048606434,6.385680375175933e-10,1.40613990312824e-10,2.1528198002562802e-11,6.943023014558565e-10,2.6775680650657533e-10
ch11,-1.3637774525725052e-06,3.141667224682061e-05,1.1566601207407474,8.366638828019916,4.2087526180471694e-11,9.34957348385972e-11,6.960129978261184e-11,1.1748321549247215e-10,5.338576041647711e-10
ch12,2.415827668051546e-07,2.728922770334977e-05,0.6516691813072845,6.255448412452765,9.487946234463568e-11,1.3519889589762093e-10,9.121166390290967e-11,1.268739711886618e-10,2.3386590273881944e-10
ch13,4.096640974107129e-08,1.9245990626909617e-05,0.12917838181859942,4.2611475293488885,9.092871208503599e-11,4.403068649407335e-11,9.657933342304422e-12,7.756934048107575e-11,1.0941499031560544e-10
ch14,-4.5568018277382096e-07,3.304592638102102e-05,-1.5899161766738288,14.137708544490163,6.357847617211042e-11,1.1659141678297336e-10,4.62080618105655e-11,1.842430420176783e-10,4.066349726757315e-10
ch15,1.089746100169469e-08,2.79670244056173e-05,0.06905374918598672,0.23839363340010378,1.2166682190644385e-10,7.643523326759112e-11,1.1760713719350742e-11,2.988252197007126e-10,2.4372084891800503e-10
ch16,-5.304811316024258e-08,3.724944361164952e-05,1.0719703106720404,23.273150699821333,1.505250642201476e-10,1.0602652894129181e-10,1.878521032703078e-11,2.0653024827643394e-10,7.076759209013078e-10
ch17,-4.117724998730789e-07,2.9432259940635862e-05,-0.24066261615724246,1.5055732067305696,2.256999587608485e-10,8.969318782891211e-11,1.4092729259511152e-11,2.981624031330064e-10,1.865688512751697e-10
