,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,9.085366780023926e-08,2.6036744799632687e-05,1.0668182803441055,13.381209860193842,2.7874539079512642e-11,5.399048787171182e-11,8.516406606647613e-11,6.262146536293139e-11,3.3849193293607934e-10
ch1,-8.50878675272718e-09,5.4175400157805616e-05,2.0987567416590327,11.562329837661101,4.5938437304645787e-11,5.216031722084165e-11,6.501455560938039e-11,2.9747103426306233e-10,1.8931076680151425e-09
ch2,1.0723745235347437e-07,1.808072716844901e-05,0.2655160683627083,5.747283811601882,4.6632712053070195e-11,4.894651142896261e-11,6.150056329807034e-11,5.865221179266833e-11,8.29746452347806e-11
ch3,7.211322454165407e-09,5.722312269775524e-05,2.032076785438315,14.963652611300429,4.9108912174419334e-11,4.4779641796232844e-11,5.6991542768250805e-11,2.824701705020757e-10,2.011390484298742e-09
ch4,-1.9716110159183227e-08,3.358181168092021e-05,0.7437044275117207,60.34738817612873,7.928258361555318e-11,9.224716950717882e-11,7.621830521846257e-11,1.302566952189077e-10,5.936565820745027e-10
ch5,-1.1609204908588465e-08,2.0810123239226975e-05,0.4958500055494285,19.40532057781362,5.421173112810692e-11,4.7938160243917516e-11,4.767627843850362e-11,6.234484614234967e-11,1.8561170618411498e-10
ch6,1.3028319174974775e-07,5.518622382235217e-05,1.3099213834214674,85.33913758476025,2.685763088251273e-10,2.901593382467281e-10,2.4747635983296145e-10,4.939156365545945e-10,6.520121514720461e-10
ch7,-3.178955906216167e-08,4.5479055076120906e-05,1.9921484575679165,12.72966739302676,4.2110739848684546e-11,5.751412275189941e-11,6.760925774541522e-11,2.28687432681407e-10,1.3661837408361163e-09
ch8,-6.91671312195549e-08,3.009584765917678e-05,-1.5344925354171968,49.17214380405826,4.945133294279895e-11,7.044202342950044e-11,6.658428891717679e-11,9.657768430631219e-11,5.068132477149086e-10
ch9,-8.922697188861207e-08,2.3192321506055927e-05,-0.5796281179633918,18.92163997276424,4.0065387496851014e-11,8.615069804052964e-11,1.8150131155349682e-10,4.988048550515464e-11,1.3166964335284485e-10
ch10,2.6229157568446424e-07,2.5405983209182207e-05,-3.923947550787426,76.80391032017604,2.6598427406260824e-11,1.838474976438912e-11,1.1238270175783145e-11,8.772228817854627e-11,3.0906121900707413e-10
ch11,3.000045662260203e-08,4.189617062092532e-05,1.8107801593449482,15.011356696880288,3.5353115892655966e-11,4.040189499412027e-11,4.94626168339591e-11,2.0451666479414376e-10,1.1574855463879007e-09
ch12,-8.345334890809528e-08,2.9393228484254325e-05,1.1719555919773703,12.359342227984087,2.2986188717021047e-11,6.594475175852721e-11,1.2311694250569717e-10,6.136993748663755e-11,3.861103544359427e-10
ch13,-7.225185695404063e-08,5.21499671171182e-05,-0.5178535660033995,76.84831235217412,2.251081257834724e-10,2.5779918270932794e-10,1.9209542226946326e-10,4.2403183439623145e-10,8.384350921480103e-10
ch14,-1.6334144149045698e-07,2.3492391951580792e-05,-0.21570879748499994,15.020936790251064,5.1781888428618736e-11,7.586082876182157e-11,9.693884351217244e-11,6.74809503757716e-11,1.7991986947217884e-10
ch15,-1.736638408151855e-08,3.062857512156954e-05,0.9002448276561574,22.5417946499605,9.982864801335437e-11,1.2685813633923884e-10,8.976779981230721e-11,9.331156538488962e-11,2.6713916541827264e-10
ch16,-4.826455482897084e-08,3.729131851754429e-05,-0.10587292111006627,62.518850358378074,1.0939969242937548e-10,1.5121065623071619e-10,1.0009460737088831e-10,1.33149672689049e-10,6.763499521249226e-10
ch17,6.942727764216394e-08,2.6196000697463468e-05,3.3392328443775994,58.40986191663633,7.815082273667768e-11,2.990202446126811e-11,1.1032546941401197e-11,1.187048225791756e-10,2.9443383505354734e-10
