,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-1.7372343361625248e-07,6.608503214593034e-05,0.6555081503264476,13.453416449457123,1.0906936437186937e-10,9.098362259274449e-10,2.1133925621382566e-09,2.3136770332228965e-10,6.055294589193654e-10
ch1,-3.747226549078712e-07,4.787152137791484e-05,1.1821707978225922,11.620845409400294,5.505678570421886e-11,2.918007335326177e-10,4.094842775891466e-10,2.2845439941781225e-10,1.1319483648112128e-09
ch2,-2.3171925025349724e-08,4.713310039775247e-05,0.6587282440257384,11.883279559890203,7.608589606671388e-11,5.259004082191937e-10,1.1051521108956167e-09,1.0655085568627728e-10,2.618485741072001e-10
ch3,1.7762169476473846e-07,6.910635039775283e-05,2.439721300009567,18.76080368950798,9.847532776222887e-11,4.70332163123032e-10,1.2518203883634875e-09,3.2758118626385756e-10,2.1982800616513104e-09
ch4,-1.5101710533706585e-07,2.8887643017023386e-05,-0.5338204837210425,5.128702063377835,6.969038768956231e-11,9.004800927360231e-11,1.4083822733062672e-10,1.3830221502378136e-10,3.144279960488123e-10
ch5,1.0978927374981923e-08,3.96057541794122e-05,0.4026103507396844,9.883254691760188,6.154475661534202e-11,1.799751593184957e-10,3.9155958118565477e-10,1.7302749182720863e-10,5.893532499161332e-10
ch6,-4.7037967545113186e-07,4.7049492287141556e-05,-0.029519584846857683,7.464135519946883,7.541903635381394e-11,3.5678690086544047e-10,8.304664231796247e-10,1.5285870700169578e-10,4.472441283380869e-10
ch7,-3.419209683876632e-07,5.093993286766999e-05,1.5352985851189527,13.000812103077234,5.539115607020707e-11,2.9037492133113797e-10,3.9411376155839493e-10,2.447010880772414e-10,1.4013480726959783e-09
ch8,-2.795695906119622e-08,2.7770401974656188e-05,-1.1181969001915093,10.283582728524019,4.90423735157718e-11,9.710060395308262e-11,1.7940484061423878e-10,8.289806378539749e-11,2.811442708688209e-10
ch9,4.185220411370769e-07,8.661354872167176e-05,-1.6905780921761517,12.76115387757133,2.1821661675167283e-10,1.6213465821213705e-09,2.7397457901080185e-09,2.8925152573709126e-10,1.998544068741852e-09
ch10,9.728207759048047e-08,2.0715746434111146e-05,0.0606186151292726,1.3566492981611793,2.6131981279183497e-11,2.696383684589882e-11,1.8784989988657115e-11,1.0906971016264859e-10,2.1003267365818217e-10
ch11,-8.883666513930228e-07,6.344117582936893e-05,1.4470069404137962,14.349298021832912,9.386905587136698e-11,4.664118822563887e-10,9.69397748374152e-10,3.260929023660579e-10,1.8373482385914616e-09
ch12,2.928025427188895e-07,7.40024692752411e-05,1.177539652306063,12.085894456238265,1.3843359976080234e-10,1.201869236736304e-09,2.4186099354789347e-09,2.0257272913278908e-10,1.1804349023814196e-09
ch13,6.436651356217063e-07,3.7927052962839746e-05,0.27859408284879866,10.483809298101498,6.337815882991339e-11,1.6792367239751912e-10,2.0447701554706351e-10,1.4253939069839136e-10,5.872697011852098e-10
ch14,-6.958276007361375e-07,7.653611780105771e-05,-2.5183983359401423,17.857535341645058,1.3986030071159878e-10,1.0991072312308586e-09,1.9069253267911756e-09,2.7717986651319364e-10,1.8086093109504269e-09
ch15,-1.721167705362744e-07,3.182696928372881e-05,0.26224350311551686,14.09919736000603,4.551852704321512e-11,1.3600075108768018e-10,2.182298131792904e-10,1.3090271443589842e-10,3.851107958860602e-10
ch16,2.6325489809606167e-08,3.2280547509095986e-05,0.6711152894022206,10.607467732450386,4.3413620762119e-11,1.0287624923249117e-10,2.465741472632024e-10,1.265514576035149e-10,4.0130737501350225e-10
ch17,2.353881301264394e-07,2.3458732422209824e-05,-0.040977886797322186,1.1633855876605343,3.3013828609524414e-11,2.8710304287094236e-11,1.6631623397708918e-11,1.0302166972941166e-10,3.057532053367069e-10
