,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,3.174639341178452e-06,7.642862248947314e-05,1.0645037565233755,5.502692607840833,5.186085692354437e-11,1.5455804290690126e-10,3.233997190250641e-10,3.0843406946577484e-10,3.787008510865249e-09
ch1,2.0659416280369952e-06,7.373374954389006e-05,1.4031972147428886,8.37289582794269,3.0990067482124476e-11,5.3122010891376714e-11,8.358986283346851e-11,3.2997245661199523e-10,4.017562065063833e-09
ch2,-4.34128567964218e-07,2.260695818380363e-05,0.26794986244778096,6.124400731123879,1.8468654021492137e-11,9.268210292618682e-11,1.8833872009672857e-10,2.2137788575937384e-11,8.262547665062775e-11
ch3,-5.089636165048044e-07,7.383662231873909e-05,0.8847708935151747,11.344651158939534,4.161823782899752e-11,7.014876281945453e-11,1.5913605943410504e-10,3.6165763816421284e-10,3.509749271491206e-09
ch4,5.430084678153466e-07,2.620112594596161e-05,0.4628503963564015,5.844454642984893,1.4266698368684173e-11,3.92384722200975e-11,6.303640704320327e-11,4.805302815953991e-11,4.1530948120714297e-10
ch5,1.4344400453034203e-07,1.9045927244779803e-05,0.582534734525868,6.84238367512109,1.2776081943069133e-11,7.173871881803672e-11,1.468920117207053e-10,2.2442879344987442e-11,6.545926370293814e-11
ch6,-2.2867448441328004e-07,2.2474527331983173e-05,0.12260707651032493,5.524199960783431,1.6278619190366033e-11,4.6929995501818195e-11,9.282141425933928e-11,2.8231036603889506e-11,2.0266373296181076e-10
ch7,1.5688429169487889e-06,7.286542970249939e-05,1.2896152622510768,7.890581290689569,3.313514243529598e-11,8.606951605156367e-11,1.1767443401575493e-10,3.265810410321066e-10,3.841486132043981e-09
ch8,2.6096261571474227e-07,2.5110297390817052e-05,0.18019246177464276,4.491851806760098,1.803193670002449e-11,4.883523534859897e-11,8.403916787045814e-11,4.004700823827082e-11,3.1559222358167174e-10
ch9,3.7504633411272447e-07,5.3428139666858954e-05,-1.435984448534495,10.016861368387763,7.056534521664676e-11,5.716070188817728e-10,1.3928962844238308e-09,9.634525270341209e-11,3.7241719252595e-10
ch10,2.9991491127230655e-07,2.2864726974074902e-05,0.86974318335216,4.916962828315037,6.388407384330013e-12,1.014621355332197e-11,8.539671511362631e-12,4.579745457334569e-11,3.676588534076487e-10
ch11,3.6200888808770846e-06,9.246614676523493e-05,1.1623853251178162,7.302841688180878,4.664465115370874e-11,1.0983077604751993e-10,1.9645216871319987e-10,4.4483105734235655e-10,6.181576998936298e-09
ch12,-1.8524515891609599e-06,6.463668025613074e-05,0.6126940814085863,3.4387176992505992,5.980241253226646e-11,4.6519492312186134e-10,1.203174748419946e-09,1.816236153154464e-10,1.5447035898485473e-09
ch13,9.488321992723554e-08,2.1300923999158043e-05,0.5023475526413019,10.459203739610574,1.90819810540512e-11,5.78442453117296e-11,9.070831790131996e-11,3.074023005706298e-11,1.7703769167644337e-10
ch14,5.213134105937609e-07,3.653676010789248e-05,-2.2711262048235015,23.025388664796722,4.224282764941818e-11,2.3301072654489843e-10,4.6249281440406936e-10,1.1331867222534906e-10,3.529781137627384e-10
ch15,5.760490017566622e-07,2.4107199007848894e-05,-0.5197537755324517,17.442022036359965,1.9366613386442972e-11,4.5366110301080396e-11,6.857413211060009e-11,5.848910770424914e-11,2.5856996427549873e-10
ch16,1.4377166157074614e-07,2.1956804327335463e-05,1.029444996152797,17.889917614049022,1.3789883031993235e-11,2.9416490011002365e-11,4.942675075169807e-11,3.5407469490678e-11,2.1244784792686366e-10
ch17,4.5815487338895145e-07,2.2240199953679777e-05,-1.6761529937524684,155.7542514933276,4.4250447547898144e-11,7.137654401979398e-11,2.77325507861842e-11,9.949370000241648e-11,2.0364646101686418e-10
