,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-2.7049835018080574e-07,3.7915457288471946e-05,-0.017877581553903503,6.205148392841203,4.614271453694275e-11,1.550314808009824e-11,1.697319828232459e-12,2.5152278369579443e-10,8.983584886033213e-10
ch1,4.919111147916591e-08,2.133619040794426e-05,0.05305406703351851,4.575616321383976,2.0736605941110976e-11,1.258902208737069e-11,4.678291910025915e-12,6.120326839106135e-11,2.9030920078923433e-10
ch2,-1.8572729837210975e-07,2.330352293118814e-05,0.2464583291316569,5.548533227448559,2.8299532278721703e-11,1.0700992573115551e-11,3.2711445232781132e-12,1.3665496241908627e-10,3.3623708755371656e-10
ch3,-1.611679027703157e-07,2.101951985745675e-05,-0.8130946718597662,13.056605420511215,2.3703941485470557e-11,7.37688066211687e-12,1.5518477173617128e-12,7.804176995670061e-11,2.2669559373943783e-10
ch4,-2.3457891634911065e-07,2.8046774349445563e-05,0.13289594161559473,3.5138290610268594,3.334908306758094e-11,1.5949540587117302e-11,2.4421831850578613e-12,8.178917729732876e-11,4.950776405532581e-10
ch5,-8.801215045465647e-08,3.8351630495507406e-05,0.1561637619685256,6.565870382651754,6.540069087303317e-11,2.6213856522203323e-11,3.646950131613528e-12,4.869514741945979e-10,7.473030868224255e-10
ch6,-3.691751647386381e-07,2.4122345234310422e-05,0.5931970829886045,7.095681727920972,2.970526156424383e-11,1.2987319792489655e-11,3.5669899136274374e-12,1.967019850482011e-10,3.108100919883202e-10
ch7,5.9032102435428525e-08,2.0839325576291965e-05,1.8471501694216639,29.243605835392735,2.0617316980977057e-11,1.05880818378352e-11,3.089796296514544e-12,5.903926469372461e-11,2.196568509177182e-10
ch8,-1.220737611511784e-07,1.7865244364215067e-05,-0.2997457299645095,6.0350063708366335,2.0605959080260764e-11,8.786030701646908e-12,1.9038710028552827e-12,5.7840602791275425e-11,1.683865734174237e-10
ch9,-4.5375758029502493e-07,2.343804044665957e-05,-0.47121391427323017,6.485747340944982,2.7164448554605448e-11,1.2942119859858604e-11,2.2215812399571733e-12,1.6467751403092184e-10,3.0792109088163547e-10
ch10,-9.381904446828192e-08,1.626013839492142e-05,-0.13961867679222506,2.6224644119696165,1.84662820992256e-11,6.716485012780649e-12,1.244086886275426e-12,3.265185845625676e-11,1.528772319171938e-10
ch11,-3.743377315370289e-08,1.7996287739116495e-05,1.532860225349693,24.41738863599952,2.1232236129284157e-11,6.693950590322393e-12,1.3899088196533941e-12,4.12973055474127e-11,1.673297126408459e-10
ch12,-2.0958712476399784e-07,2.126817984021342e-05,-0.1872780555060691,6.486824331115669,2.978385960081982e-11,1.028864477931963e-11,1.5734333736523366e-12,9.611291524058802e-11,2.823327706620712e-10
ch13,-4.530175466190579e-07,2.1162486553870685e-05,-0.04932413781566513,3.3027557763854842,1.9865464822941522e-11,1.0528942862443307e-11,2.124422060565606e-12,1.0377651317071523e-10,2.724254517542687e-10
ch14,-3.56487789667949e-07,3.235675751283135e-05,-0.1494576423113111,6.96124987645252,4.571613992649642e-11,2.1363564347608035e-11,2.2217402168475796e-12,2.0047217782155624e-10,6.220895105034375e-10
ch15,-5.164661367287359e-07,3.172864386701438e-05,0.1054970071603992,5.807835254968634,3.5247120956792014e-11,1.973694888298276e-11,2.2117307714355147e-12,1.5605888432843884e-10,6.736790572786548e-10
ch16,-1.7765591501876455e-07,2.6835123590911783e-05,0.7225843875624545,9.140162569330156,3.0066897736782184e-11,1.4231958551880305e-11,2.645153565358368e-12,1.6285202500150553e-10,4.235152510336759e-10
ch17,-3.189968730817573e-07,2.3097796413162245e-05,-1.174047673674827,24.957543273573133,1.3538562223046452e-11,7.62735386217721e-12,1.2150551723815423e-12,5.81018531842823e-11,3.044988004076988e-10
