,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,1.9728448757929309e-07,5.258095790874001e-05,0.5231616342817396,17.894338600712416,1.8210720088175692e-11,6.438942130587939e-11,1.1422175132296619e-10,8.228537472505913e-11,1.4970144890814582e-09
ch1,2.0176163330979683e-08,5.0106098939076026e-05,2.6379833967825848,27.743762103344,1.525849018630249e-11,4.6867762395971426e-11,5.3949065500860997e-11,1.576644057517873e-10,1.8298754010478857e-09
ch2,-7.241061655711374e-08,1.4635591655027112e-05,0.25518234040000526,6.76453509130673,1.1607351254956079e-11,4.239325708889999e-11,6.998362828316119e-11,1.5362347890872983e-11,4.873734999308123e-11
ch3,-3.1512170181813494e-07,7.220687950477838e-05,2.200981835198214,36.50008929376396,1.6350815730507936e-11,5.1605561200187705e-11,8.536781462326855e-11,1.951258625358059e-10,3.372088578083624e-09
ch4,-1.344795624848775e-07,1.8937159233400647e-05,0.797085927803687,11.316782145541017,1.6121875613846372e-11,3.2625037441509086e-11,4.713650914351086e-11,3.003747064170955e-11,1.9204530560470097e-10
ch5,-3.173298758037661e-08,1.2996715609300042e-05,0.4591105662262449,11.575026432530594,1.0966790818252896e-11,3.213197555106402e-11,4.940157011271709e-11,1.5238605330517223e-11,4.259359229727989e-11
ch6,-5.340580986136973e-08,1.7778281093432115e-05,0.12271622026576962,4.857989318603829,1.3284502805710745e-11,2.5886884668267376e-11,3.464775552189156e-11,1.786986680622933e-11,1.6080996060719479e-10
ch7,-4.2509161046065776e-08,4.9878647104377494e-05,2.6604177883934415,27.71086494540357,1.6396450801197728e-11,6.813042869054564e-11,7.919946561399318e-11,1.5001033521941553e-10,1.7785762074901112e-09
ch8,-1.67968531820924e-07,1.7811855326887018e-05,1.2310682184349406,12.200130507573517,1.9853937685091656e-11,2.4157294267378523e-11,3.152752386621845e-11,2.306958132135344e-11,1.7744642480193808e-10
ch9,-1.5730093508483693e-07,2.316311852410973e-05,-0.43861141315584184,5.483068972749431,1.430854397064759e-11,1.1209705401599498e-10,2.054882287205414e-10,1.8279296122371198e-11,1.0865444291281565e-10
ch10,-1.6571754341119134e-07,1.6546628697262176e-05,1.6387516670551996,14.060958766137428,7.257811880172251e-12,8.6478183433493e-12,5.141891319866763e-12,2.4965162850161908e-11,1.900408000528075e-10
ch11,2.910192211870727e-07,5.908488475403842e-05,1.4207722281729411,22.19193566784903,1.900798984918129e-11,4.6123843431009334e-11,6.802027808661662e-11,1.934819669112545e-10,2.3888826250037233e-09
ch12,-3.643980015958332e-07,4.172492848405618e-05,1.252538895209168,17.527499848180888,1.738114603352449e-11,1.0570638922504725e-10,2.101120829856894e-10,4.975769567006656e-11,8.246534979642445e-10
ch13,-3.2647493602518586e-08,1.4759399418789176e-05,0.20154488848133675,4.277616534848315,2.2795294301356e-11,2.236534718459792e-11,1.93526293448854e-11,1.6064890203524267e-11,9.809474918715746e-11
ch14,-6.576819989832409e-08,2.0461041385685748e-05,-0.6140651339121842,11.150206088536908,1.1642640643148525e-11,7.026169533543017e-11,1.2800296435050644e-10,1.8359275204859496e-11,1.1992592346393182e-10
ch15,-9.078131069611963e-09,2.566214278993317e-05,2.968806295051138,42.66356909299957,1.2277134173105387e-11,3.0696007254704844e-11,4.369771413284539e-11,2.956221894564132e-11,3.63902291445129e-10
ch16,-9.501341173545383e-08,2.5529683084127106e-05,-3.0085063140147614,48.019659589254445,9.449667848420965e-12,2.3695816035341474e-11,3.207966210290843e-11,2.5547408779088398e-11,4.059258076151869e-10
ch17,-1.0504176019381577e-07,1.5840795713987177e-05,0.501376172636073,34.76693419887448,2.4684668130384388e-11,2.670827539495115e-11,7.641499767698559e-12,3.4595981343330285e-11,1.1466449572624179e-10
