,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-1.224571675699971e-07,2.6132853914946985e-05,0.46782397479131343,3.0325713383383404,5.0774109822022324e-11,1.2451460855623653e-10,3.853198789300718e-11,1.0175376383498271e-10,2.9563682417226553e-10
ch1,6.906031516655596e-08,2.976164615100196e-05,1.9506317483213502,18.521098109536698,4.142561245336396e-11,1.0315039760211532e-10,4.7714378093635427e-11,1.3152552171290957e-10,4.837889544023056e-10
ch2,-2.579686482664449e-08,2.949408788873467e-05,-0.17268700437077164,0.7584086836279353,4.9429137677475116e-11,1.2577877001387366e-10,3.119677717707167e-11,1.7019168624550158e-10,4.142850869761574e-10
ch3,2.0424507726826317e-07,2.3246518248907778e-05,1.8266346238049895,15.820174496483268,2.349342883916047e-11,7.557691102285391e-11,3.5346901910838035e-11,6.363736562569393e-11,2.890799249226921e-10
ch4,-2.8228150779774714e-07,3.160832685163647e-05,0.11237250601230445,0.07605979560742249,1.3922382402862303e-10,8.865354871839771e-11,2.777150021034375e-11,2.9380096923408446e-10,3.9593165169606964e-10
ch5,1.431668453039986e-07,2.8439858905808933e-05,-0.6302577880493656,8.595464852542964,4.1706643914755166e-11,1.2011666013170057e-10,2.6194315398482788e-11,1.0196018301103579e-10,3.745070196074261e-10
ch6,1.127494876852218e-07,2.9859428213657326e-05,-0.1894072837365471,0.6271976633969727,5.608189152615619e-11,8.776060367007255e-11,2.0285875867545665e-11,2.0694285487299315e-10,4.1073069851083647e-10
ch7,-1.395596496644082e-07,3.0113913858237e-05,2.631457018122885,26.663006217102712,3.741428454666783e-11,1.0946952397053205e-10,6.146966366467796e-11,1.0821570308106885e-10,5.035179110263202e-10
ch8,-1.8171090131021797e-07,2.9235918633034933e-05,-0.026400692512595702,0.530115545144529,6.577219947233955e-11,9.139409148405277e-11,2.3153392534655455e-11,1.86536645520874e-10,4.1516126101346636e-10
ch9,-2.481044147068042e-07,3.087520963276423e-05,-0.030662640832412238,0.7163781218839107,4.487835140468248e-11,2.6366003578926653e-10,9.70777758439964e-11,1.0551939283709453e-10,3.344194118128053e-10
ch10,1.9471084122727306e-07,2.795946566134355e-05,0.018498807629401273,-0.012777544514839256,7.093541417521922e-11,4.9604146967270885e-11,1.174927412952798e-11,2.760866242247233e-10,3.2565521215174023e-10
ch11,1.4602678109819485e-07,2.6680785089828152e-05,2.224659490891777,20.33961530261857,2.5034378198684454e-11,9.825528097090929e-11,5.358072173126761e-11,6.895855908776938e-11,3.628761749519985e-10
ch12,1.4231008966446777e-07,2.8678206231231466e-05,0.5234958260487682,3.138480729968851,4.49831940388256e-11,1.5809237728271486e-10,9.912234255048023e-11,8.690800595800581e-11,3.3632303659788517e-10
ch13,2.2720455960958319e-07,2.499970038060383e-05,0.028999986250458402,0.24033491136681828,4.416234350329058e-11,7.415609758638728e-11,1.2731700296604298e-11,1.3825144609687278e-10,2.754325374114096e-10
ch14,-1.2158183362191426e-07,2.9846007467960344e-05,-0.051531780543834886,0.20043528509097763,5.381946622588011e-11,2.338875459702851e-10,4.3901627208133855e-11,1.0818943575527928e-10,3.416318012332432e-10
ch15,-6.901075224739305e-08,3.11918188983047e-05,-0.002394474582849896,0.19899093911044963,9.375571802911724e-11,1.1691510561767645e-10,1.7128764370317093e-11,1.9017132790456426e-10,4.292855362495115e-10
ch16,3.8302572358592626e-07,2.706682871302864e-05,-0.666449018882258,9.48792405423796,4.612681574371158e-11,9.007119763748869e-11,2.162637388530793e-11,1.1555273814740844e-10,3.223477392923848e-10
ch17,-2.1040025594491483e-07,2.7619726828670056e-05,0.019069291907001563,0.2085184821010646,8.773542433864957e-11,7.481451349473444e-11,9.982369674668943e-12,2.1790874510966974e-10,2.941251502347241e-10
