,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,1.0541116020396064e-07,1.6318125066449254e-05,0.35257237610929815,1.3344930041001168,1068,2.5037668445291922e-11,1.4637675804360954e-11,5.4203364784507635e-12,4.715570221999195e-11,1.5831690036558397e-10
ch1,1.877531164963272e-07,1.5505433283816837e-05,0.014571737887024776,1.8658346579129779,857,9.632102033446155e-12,9.896899251952714e-12,3.3101464115693753e-12,6.542452515311492e-11,1.4770617847879737e-10
ch2,5.973091884095934e-08,1.5091953905834007e-05,-0.1831360320742456,3.2495893372673805,684,2.3478307562813994e-11,5.188659110515007e-12,7.135768941553654e-13,4.330085769843772e-11,1.539630632178555e-10
ch3,-1.743583352449105e-07,1.3592282988432515e-05,-0.12329039164701473,2.782496319759538,1107,9.198761568407137e-12,7.596021770356993e-12,4.6069970292264405e-12,3.524186133148737e-11,1.1880758984762645e-10
ch4,6.812615067220328e-08,1.293666785759814e-05,-0.00661548097906838,0.8426664271147506,913,2.2719109226555903e-11,1.262621019800312e-11,2.131017796399044e-12,5.6461538876025816e-11,7.004172061153598e-11
ch5,2.8019887195672905e-08,1.728487846213617e-05,-0.11619859082031717,1.083125915564949,675,3.0474326209954016e-11,1.2834655538677878e-11,1.2868693681295394e-12,8.717098299027157e-11,1.5499279030611377e-10
ch6,-2.702997964508587e-08,1.4048688324551738e-05,0.07501528233589212,1.7007703754798644,770,3.383613386343123e-11,7.0968903495491606e-12,1.04281831190033e-12,5.275684817657525e-11,9.380066883221592e-11
ch7,2.7078109673557633e-07,1.565802503156634e-05,-0.46674394125604884,5.6161719353768635,817,9.02861232269919e-12,8.630185609297436e-12,2.6753727994007486e-12,5.95936966499184e-11,1.5462351780095424e-10
ch8,9.84490901862031e-08,1.1694997924680411e-05,0.2271270752160759,1.6213618651940127,826,1.4791963482623427e-11,9.060664970233091e-12,1.3751323139104376e-12,4.6071157132644245e-11,6.171640167390229e-11
ch9,1.2472268590483945e-07,1.6410152336523587e-05,-0.07463882448568071,3.2543607239553545,668,2.7172052276006845e-11,5.265061097976407e-12,1.1789474244542889e-12,4.683819762320546e-11,1.7236564807116327e-10
ch10,2.9604745210576342e-08,1.4199430810337608e-05,-0.4841513105818654,3.4882838036320276,841,9.709966675005091e-12,1.044053374222993e-11,2.309529424403421e-12,7.915790074749276e-11,1.0079386490909866e-10
ch11,2.0507642398663856e-07,1.541758954890737e-05,-0.26405065831040225,5.7689697298659475,942,3.869611831056783e-12,4.9708917184044174e-12,3.0672369731728324e-12,1.609439243207284e-11,1.9160100502992064e-10
ch12,-5.093704146370914e-08,1.57723906497122e-05,0.47390094813801625,3.9935782337987398,832,1.0768637282675481e-11,8.441950957365024e-12,3.428599477843635e-12,3.4950553475010556e-11,1.8264468268142713e-10
ch13,-1.9720255448744768e-09,1.1605116161799512e-05,0.1650120152883095,1.0857102712566213,814,2.2679163604920453e-11,7.539800076592344e-12,1.0227552061156924e-12,3.635203243496254e-11,5.889251779712193e-11
ch14,4.6230280932929023e-07,2.268107232507943e-05,-0.09551014882220107,1.742675371953946,730,7.583213367538672e-11,1.5951311814740412e-11,2.559307992163705e-12,1.3461130802335596e-10,2.5906724623700885e-10
ch15,8.812456207117788e-08,1.2414693021508881e-05,0.19805097971362343,0.7751596893385275,1516,2.7556139753130222e-11,1.0024927228632e-11,8.34333712693869e-12,3.394539658324322e-11,6.257765680577098e-11
ch16,7.456716477762827e-08,1.5533416283900622e-05,-0.03322764032384314,1.495647820582648,1374,3.495100264866987e-11,1.08293740072343e-11,7.65883135343028e-12,5.87464086460956e-11,1.171435795810176e-10
ch17,6.517716510673885e-08,1.370983402197868e-05,0.15419031888668483,0.9556651449939557,966,2.4553291192663485e-11,1.4639508290100362e-11,3.2594748067155785e-12,6.705882896515875e-11,7.592126439530233e-11
