,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,5.036110941238366e-07,5.5441951124729404e-05,0.17813172022643484,0.16753018243248397,449,6.281031658771914e-11,4.2826052859147574e-11,2.26221593688028e-11,5.032770018356906e-10,2.122556672725761e-09
ch1,9.74669450018344e-07,0.0001154772175494905,0.3157515217566925,0.1592224707693779,260,1.5777346781350112e-10,5.3080522534822436e-11,1.1729910933434758e-11,2.3844534919923886e-09,1.002999101500122e-08
ch2,-1.487592718044222e-08,2.985357709284431e-05,-0.38696417372877584,3.9142501287706715,1128,3.9618088117404435e-11,4.914330728776596e-11,4.164757598974793e-11,1.4373523798730993e-10,4.985429136155527e-10
ch3,-2.74222001959418e-07,8.10111936138699e-05,0.6702827682345754,1.0755044144057964,366,1.330070942886751e-10,4.067907017735289e-11,9.312096925907174e-12,1.5415044046669959e-09,4.195897985091344e-09
ch4,-5.2516651848735064e-08,5.655606786859626e-05,-0.31437883379398773,1.910589872927205,471,5.0001469330660464e-11,3.5653340328087655e-11,1.1038499978187632e-11,3.2708908701889203e-10,2.5321973631311944e-09
ch5,2.6098359335294657e-07,3.343159503817901e-05,-0.6418165242804466,6.4087753564781185,1214,4.8637248812730815e-11,4.4207100966437116e-11,4.871109883335304e-11,1.4808790891426222e-10,6.788667339777305e-10
ch6,1.6347037192689582e-08,3.8634980053628235e-05,0.004928422609289955,4.072910827831683,1008,3.69057699350388e-11,4.776596346995113e-11,3.916335291658121e-11,1.4453125062513513e-10,1.001667733523446e-09
ch7,1.1699024698215444e-06,0.00011803104000065311,0.29904089679756096,0.23831081135817955,257,1.8132993240856774e-10,5.94530231909473e-11,1.235932047473505e-11,2.3972573119234363e-09,1.045452994882849e-08
ch8,-3.905124421391218e-07,4.602416737861663e-05,0.16731917792573212,1.6550670969046815,540,4.3251925549507156e-11,3.0909575515522183e-11,1.2336794007608773e-11,3.4587369973283597e-10,1.4260894860917205e-09
ch9,4.900866315990049e-07,2.9705592270607454e-05,-0.41371222366083615,4.4150580688320575,1061,3.238437391900549e-11,3.3030252042182416e-11,3.0968023382157456e-11,1.6886926775364894e-10,4.5957997097578516e-10
ch10,9.24032523367745e-09,4.892279094800506e-05,0.15332170346789734,1.2581787134412181,429,2.8033405877154477e-11,2.066108369550358e-11,6.971351324187704e-12,2.0384811788065892e-10,1.966598637039788e-09
ch11,4.439751333275068e-07,9.048018613776315e-05,0.5698966671048568,0.9074827061451494,321,1.463131817393015e-10,4.059973853482272e-11,8.128004607329506e-12,1.849813125442257e-09,5.807971109328054e-09
ch12,7.531648847842887e-08,4.4269347072224495e-05,0.3079448591597221,0.45218882319219755,480,6.145010226135915e-11,4.709767546518688e-11,2.4050057001518507e-11,3.9854491328782493e-10,1.1773506142393324e-09
ch13,2.2273297153900993e-07,4.234575097196061e-05,-0.31021420460236254,2.8256395573403674,709,3.885434972366155e-11,2.4876659357174856e-11,1.1073133363122184e-11,2.4395627228746545e-10,1.2937305512386066e-09
ch14,2.613182497558083e-07,3.984679496248602e-05,-0.46785958099869074,3.2265030389377714,1133,5.980848944971218e-11,5.894633388586933e-11,5.161133384593787e-11,2.0065616806403455e-10,9.242726599703781e-10
ch15,-5.584208422417656e-08,4.431581410146871e-05,-0.26911465162869297,3.666030050536687,732,5.4321053700247873e-11,3.605875944171163e-11,1.1661154868789772e-11,2.7375346238794895e-10,1.4133033618977828e-09
ch16,-9.766013851022184e-08,4.071061824617011e-05,0.11631217689875853,3.9441239723460937,865,3.698615796976148e-11,3.743519446994201e-11,2.2107472743947272e-11,1.1585472567690883e-10,1.2071893291505723e-09
ch17,-5.4764307020852596e-08,5.620357713319894e-05,-0.17012130435237746,2.19296534528484,576,4.296207595157813e-11,3.1144029108309415e-11,1.060487798879244e-11,3.4375611416891786e-10,2.4289025004703723e-09
