,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,3.563434723271166e-07,3.977607881017435e-05,0.6337119635014176,2.555051334836807,1363,8.534194359283551e-11,2.9109705210806674e-10,3.351499222905836e-10,1.541055134785113e-10,5.67481570712586e-10
ch1,-6.530570747590395e-07,5.899423051210146e-05,1.5488835342305314,8.207778114929438,948,1.1523698744903686e-10,3.743771884088565e-10,3.684503372827723e-10,5.100912998547205e-10,1.7375184478852718e-09
ch2,-3.680261627165795e-07,3.568737241647151e-05,0.6408337796152132,4.215902854233497,1000,5.6386450509396243e-11,1.7981159018212788e-10,1.233502867193996e-10,3.9838059362391907e-10,4.1673111140229375e-10
ch3,-3.8378250069014543e-07,6.312190400598908e-05,1.7083144744172158,10.875838707927688,847,1.04083191689293e-10,2.166481485629282e-10,1.719634977428339e-10,5.876897385354596e-10,1.9971118518911286e-09
ch4,1.1860660696038964e-06,3.211683538306684e-05,1.0631655606818138,11.60421704191148,831,3.5852109720198107e-11,1.0818174612058367e-10,6.809876642420157e-11,2.434953662276592e-10,5.563956692763022e-10
ch5,-2.0393002686583956e-07,3.3159750818510214e-05,1.040916293151315,14.39756233309624,1227,3.20423632799429e-11,1.2533601058199126e-10,1.436936503948071e-10,1.3675761199817802e-10,4.408654937295298e-10
ch6,2.784560544514959e-07,4.200109579819248e-05,0.4647179949664663,7.095688296202297,694,4.7071650572961555e-11,9.087335600242389e-11,4.6435610088826805e-11,2.987915950662344e-10,6.676585249948113e-10
ch7,7.3438964930516774e-09,6.269851181916062e-05,1.364655829852225,7.55265975591827,1065,7.955547216288898e-11,4.308156170748445e-10,4.140147955045616e-10,4.85783610078873e-10,2.1783647889962762e-09
ch8,7.046458500662614e-07,4.108782819708561e-05,0.17666902083580155,3.1578580702376495,872,6.468514250232364e-11,2.212717352824675e-10,1.0672005422320788e-10,6.00471013646802e-10,6.282771809742284e-10
ch9,9.426959739587024e-07,3.460544980350702e-05,-0.111726413854057,2.0300425259569135,1397,5.6272410312194725e-11,2.1040743087931106e-10,2.356077143868153e-10,1.7902737077253977e-10,3.7093920017384743e-10
ch10,-7.037062904827965e-08,5.0931116745370747e-05,0.0903978035158953,3.1919610889317847,552,5.0065293806551386e-11,1.480729181478187e-10,5.670085450447618e-11,1.1679098938733755e-09,1.0079597901852039e-09
ch11,1.755260947119324e-08,5.831249485894257e-05,1.5238707906398226,10.254140772841756,826,6.789104794005179e-11,1.8534417016846037e-10,1.4921346674408982e-10,4.703039878444086e-10,2.1210434525512163e-09
ch12,-4.6412917847844846e-07,4.809831827204959e-05,0.9279530378577696,4.781291761244186,1271,8.547378604856632e-11,2.7042222000456567e-10,2.8702320295142876e-10,2.4563804119319345e-10,1.0463530670934015e-09
ch13,-8.677675636257073e-07,4.416497158218021e-05,0.029892810666391257,6.7352733601441095,537,1.9967136625869632e-11,8.886294260478475e-11,2.6869068331549216e-11,1.034961214514497e-10,8.016248708474603e-10
ch14,1.646222334506689e-06,5.209991110213059e-05,-0.34904028576587837,3.2460550850908687,1209,1.0969400877941543e-10,4.858590690306216e-10,4.3243687234593113e-10,6.378979932475417e-10,7.50886926891123e-10
ch15,1.4249612185439635e-06,2.9335400315097825e-05,-0.29121695756328225,4.9093384865769885,640,3.0478071785568115e-11,1.11404408874317e-10,2.6689570303093104e-11,1.776005197702095e-10,2.539705124335816e-10
ch16,-5.52231914668194e-07,2.712478707704197e-05,-0.218507623299141,4.198133273209916,775,3.049274378422633e-11,6.70199489062737e-11,3.641004506972364e-11,1.9447665200159965e-10,3.430643289772238e-10
ch17,3.441460771931617e-06,6.193297882102264e-05,-2.668891252517913,16.582882715778144,540,3.921587691858371e-11,1.371729768305603e-10,5.892141666498678e-11,1.875514759184838e-10,1.2918966326205327e-09
