,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,5.162967577774937e-08,3.5743315634369884e-05,-0.21704470107264845,0.6904372954137044,828,9.262037714508535e-11,1.6753682958513177e-10,4.064339132381547e-11,2.1651816020276876e-10,6.766047022892318e-10
ch1,1.2472831456968353e-07,3.6710190712746274e-05,0.1703963833397006,1.3704958008098105,798,1.0426060574125534e-10,1.606802023647927e-10,4.242369322510463e-11,2.429619373725691e-10,6.364237454798916e-10
ch2,-4.4075263654257903e-07,5.385584132656641e-05,-0.1638409269236233,1.7310357525727094,728,2.0207759889869716e-10,2.0337229314655877e-10,4.133144584051417e-11,7.707603850559804e-10,1.4999012622982388e-09
ch3,-5.254940556865791e-08,2.694077780130194e-05,0.4173819402956356,2.7574898231492933,877,3.835680073873634e-11,6.367691215860951e-11,1.874973615992761e-11,9.77467944189337e-11,3.86073975717366e-10
ch4,3.2870728474040985e-07,4.458103318277002e-05,0.019073408016746146,1.2195710113720049,918,1.664385797507716e-10,2.7981166833948345e-10,6.248570180975982e-11,4.0781056045512653e-10,9.858585072019147e-10
ch5,-3.51425794654553e-07,9.593840741109497e-05,-0.3444663673359722,29.38200087953652,738,1.6061157668477817e-10,1.3919574626773428e-10,3.325816850774673e-11,6.631927956404449e-10,6.811417890835694e-09
ch6,-1.06201863313038e-06,5.27640496917002e-05,-0.44211816806194926,1.6919213050052893,643,1.4346390621410126e-10,1.7789498498038457e-10,3.940983564868411e-11,4.688861549588332e-10,1.6037468948405918e-09
ch7,3.7357905379593615e-08,3.5621377699061544e-05,-0.4118095456221034,3.2733594256894865,858,7.26907765105158e-11,1.5951961985906088e-10,3.907750636734029e-11,1.7931178905429892e-10,6.168188335568126e-10
ch8,1.5732775046801173e-07,4.622139847171847e-05,0.3721737309571419,1.5778997102284666,887,2.1769448034748002e-10,4.1684844783747317e-10,4.489235446760406e-11,3.0511866452826094e-10,1.111345873247334e-09
ch9,-3.6822059396091084e-07,5.712998149325177e-05,0.28936993206384276,1.5711520832987542,845,2.6017311682762027e-10,5.135184683496317e-10,8.490490123729382e-11,6.523319151128684e-10,1.5893963153842458e-09
ch10,3.789934073360249e-07,3.829067731753409e-05,-0.0601678887330975,0.3468482707857836,784,1.318163971310215e-10,1.698330730482696e-10,2.5857389809281113e-11,3.5777575731011216e-10,6.503929285354566e-10
ch11,1.5455943175799173e-07,3.0811514461414374e-05,-0.2016659038366333,3.9123642739269044,984,6.80401178724506e-11,1.1203642296600295e-10,3.380585720452862e-11,1.2011169325777375e-10,4.30065396478975e-10
ch12,6.670841417686343e-08,4.3724205946728885e-05,0.17849309686598833,0.2677519763765299,978,2.380694012951703e-10,3.4141354841337614e-10,7.980074248183794e-11,3.6329110123497386e-10,8.23039323210611e-10
ch13,2.9580114462200695e-07,5.3838640431554605e-05,0.5062370226217386,2.9865608673435533,790,1.5859266195947933e-10,3.411389430932868e-10,4.016621935795129e-11,6.272657855946914e-10,1.5976034276566595e-09
ch14,2.4105562801657393e-07,5.794973669493417e-05,0.9071138296545032,9.605902025448572,727,9.16948392291607e-11,1.9207847528865285e-10,4.321889472477895e-11,3.389608435800804e-10,1.630934286408633e-09
ch15,2.0713844438173696e-08,4.610594371824925e-05,-0.021150408051940545,0.35296124705616894,639,1.34821765536637e-10,2.0643275819392756e-10,2.8568648253355178e-11,3.436347572779375e-10,1.1895060660037598e-09
ch16,-5.726377110533852e-07,8.713454078332603e-05,-0.9284807452370034,41.485050161143505,713,1.4001670864745726e-10,1.242294755644927e-10,2.8944431878610287e-11,6.723405058345819e-10,5.990600117742543e-09
ch17,3.6213320704309197e-07,4.510575420771113e-05,-0.12633138634247212,0.5300100398064802,676,1.5664118471619246e-10,2.292220305955212e-10,2.1504084957247615e-11,3.4458347108017676e-10,1.0436878157259197e-09
