,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,1.9406144076700407e-06,5.975262630994198e-05,-0.4473405031187728,3.5014155473899935,2113,1.1568090241015919e-10,3.900661366108939e-10,5.032089786293222e-10,2.4015210869915383e-10,1.687169885870412e-09
ch1,1.0958229149487723e-06,3.362849499234813e-05,0.06255642770422291,3.6449170025217343,1091,3.2166607924822224e-11,6.75431139589052e-11,3.485337375749072e-11,1.7529238496131876e-10,6.937457248240814e-10
ch2,-6.024787134736543e-07,4.0020835241786684e-05,0.2527371617035695,1.2842080409808148,1165,7.09709686237506e-11,8.088331480846348e-11,6.392192298246594e-11,2.225136877667875e-10,9.500627698609622e-10
ch3,-4.248591220496474e-07,3.7391521118669465e-05,-0.03620211088098157,2.884328520775064,1840,3.5177448885764046e-11,1.162427501808506e-10,1.6390308537006927e-10,1.0109248668293265e-10,6.598228461469407e-10
ch4,4.5933313780768024e-07,4.2432045747621386e-05,-0.2817355051312275,2.925053827082065,1113,1.0372552180467877e-10,2.6460427746639845e-10,6.800702744542761e-11,2.951072292996329e-10,8.856944102157177e-10
ch5,-9.241685889558633e-07,3.661857582325862e-05,0.11660641076497483,2.1162675777269957,1698,8.461431187456224e-11,1.1679863785214628e-10,1.1904638374985546e-10,2.0873784699917938e-10,6.389719066312868e-10
ch6,-8.196374376614619e-07,4.5612720450485094e-05,0.09634686918511662,1.5640386870137641,932,7.899029472091142e-11,9.006643033536632e-11,6.947339837523093e-11,2.370036798661417e-10,1.3593333596707016e-09
ch7,3.0878513355934003e-07,3.950363078846639e-05,0.35898873948724447,6.883723452341506,1193,3.855570241070982e-11,8.298790965937686e-11,5.94702400636191e-11,1.8666008810374293e-10,1.030335363388391e-09
ch8,9.864197316995932e-08,5.829328942747996e-05,-0.3267180977545295,5.297347963986725,1013,5.703125106027395e-11,1.0707261535279636e-10,2.6333245967337094e-11,4.756639196162429e-10,2.1640393114345185e-09
ch9,9.166898802350891e-09,4.433409900776205e-05,0.420428418177107,3.1537214519205214,2277,1.1984932554905183e-10,3.668879996519741e-10,5.030018106202367e-10,1.7046770418481792e-10,7.385090254365884e-10
ch10,4.2059211177378457e-07,3.643928193420996e-05,0.34550733299478953,2.037369628214587,837,5.993049480240638e-11,8.175430050146186e-11,1.9442430992936162e-11,2.975310041568463e-10,7.324711430148212e-10
ch11,3.9378535128723777e-07,4.833519844953582e-05,-0.6727132577758421,6.88265795596339,2435,7.07927631017599e-11,5.146314507276616e-10,7.953704210127385e-10,1.4950798704875464e-10,6.508449441681056e-10
ch12,-9.259875635975139e-08,5.9584939210118624e-05,-0.10484337287709256,3.383273059196383,2603,8.713697022496833e-11,4.57220381671794e-10,8.033002808819975e-10,2.888642970506843e-10,1.444635143600348e-09
ch13,1.2964672018504715e-07,2.6476014770650755e-05,-0.018446919492344997,1.6161936509751023,919,2.4908714197635784e-11,4.7296892083991696e-11,2.0004609438217932e-11,1.0457747308989561e-10,4.2447849884917247e-10
ch14,4.321006693700322e-07,5.048549787468213e-05,0.6378196602228074,4.258829168608543,2194,6.384783987089224e-11,3.289063229321674e-10,4.0168435661042135e-10,1.8541336002613217e-10,1.3716127103055161e-09
ch15,5.89531271547215e-08,5.0226100807884904e-05,0.05117582691863516,4.922449946671672,1023,6.023880098322702e-11,1.6054920738020687e-10,3.944249987141756e-11,2.679202527945993e-10,1.917896767895937e-09
ch16,-5.715473901669886e-07,3.5709625025197356e-05,0.1511782817270603,2.0315502867353468,1692,5.3520712799837056e-11,1.0777403800491295e-10,1.0533583513257181e-10,1.6609891291821088e-10,7.020598956351899e-10
ch17,-6.572172456582741e-08,4.193729696496109e-05,0.3307970136505159,1.6684718724314518,769,5.5436309921680214e-11,8.56776723020775e-11,1.7364569578059493e-11,3.1777187573211275e-10,1.1832562947215915e-09
