,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,2.162656387678684e-06,0.00019328740754999665,0.9507137401330922,4.48565191809325,661,1.1938301716595985e-09,1.2560517194375108e-09,7.77697358717663e-10,2.3225223587630864e-09,3.42449703480209e-08
ch1,-2.1256118220076853e-07,0.00016136597537347148,-0.7884899070694389,7.5572462592172425,490,3.905895383848408e-10,8.177683801444857e-10,2.470579890794301e-10,1.4889216205219274e-09,2.4733772784246963e-08
ch2,-8.555254665173839e-08,7.584665406353146e-05,0.08114584662113704,3.998598240383423,718,2.0203313986172477e-10,3.25449120349043e-10,8.107980645478593e-11,1.0471009502089182e-09,4.231993008351459e-09
ch3,-9.076000808210191e-07,7.529543996276577e-05,0.38198403448232676,5.114013734818213,572,2.8878310160573703e-10,7.059014676211003e-10,4.663538538940725e-10,7.240552561883948e-10,3.1542676701185758e-09
ch4,3.587243334241188e-07,0.0002694559443335356,1.2222512353768802,4.646746585918954,475,5.786556593309451e-10,9.91726712112412e-10,1.73931798460613e-10,3.20549678392592e-09,7.413087369898749e-08
ch5,7.220078574987334e-07,8.189405317603898e-05,1.2461836962497883,6.916559537316314,731,1.6457028828661518e-10,2.758899786696935e-10,8.332345116304831e-11,1.1215891515925795e-09,5.20240223463566e-09
ch6,3.33352813191335e-07,6.835245564318441e-05,-0.3232248150281608,4.039517867453725,733,1.7295963874531587e-10,2.759742044690116e-10,5.782192222540026e-11,8.885182690348201e-10,3.305238889746149e-09
ch7,1.5785167448909776e-06,0.00020355984187468606,-0.5332074799683406,3.9280214828399096,596,7.629324895387414e-10,1.673145035620621e-09,5.909102602757772e-10,2.236335724121583e-09,3.8914259724075845e-08
ch8,2.72424749178908e-07,0.00028383452006157346,1.6638013557150881,5.1364930265990765,775,4.635469918206347e-10,9.422432863645803e-10,2.2313347459049137e-10,3.744027676849477e-09,8.255031505656643e-08
ch9,6.203542253224256e-07,7.602877159341314e-05,0.4962657049822333,3.5104871206909474,1213,1.4729934491271668e-10,5.864166798810607e-10,6.325675916966823e-10,4.2230611417965947e-10,4.0485325725400375e-09
ch10,1.9953808954762957e-07,0.0002767040751915444,1.3716387894385673,4.413378824862071,306,4.2023195468348516e-10,6.174095400180963e-10,1.0472014135648541e-10,3.552347451332568e-09,7.832468187587825e-08
ch11,9.751585022220165e-07,0.0001650954825554731,0.20562016473918246,3.781252536317557,948,7.096207725985215e-10,3.425971588953299e-09,9.453187383160838e-10,1.2408721463759182e-09,2.263640860167624e-08
ch12,8.465445840828788e-07,0.00014177352434390476,1.8646689399390288,7.5554928284208795,1239,9.792660584757666e-10,1.2398173383073028e-09,1.2429582159043562e-09,2.550349417401182e-09,1.5553559584438043e-08
ch13,1.854868936873154e-07,9.02426253313192e-05,1.2670164215082453,4.924782749263132,653,1.4773992175779874e-10,3.11798119765232e-10,3.7109664488848673e-11,6.420789916792861e-10,7.459180717397118e-09
ch14,9.89493188246158e-07,0.0001517786641711781,0.583511377650812,2.627242213809784,746,3.2211250015375655e-10,5.30282736889969e-10,2.894877989976877e-10,1.2749667201779702e-09,2.1597795762500776e-08
ch15,1.5694588771171368e-06,0.00011474095612429282,0.8975111480518094,5.532605566250311,409,3.8168724677578786e-10,2.8974463179784596e-10,4.9491278117983675e-11,8.033929882872933e-10,1.2287901185921802e-08
ch16,1.2266254393826343e-06,0.00010056352177259353,0.31163672192379177,7.877554490970976,679,2.3043310756592985e-10,2.285613364906934e-10,5.705526517544665e-11,1.8073632015834363e-09,8.181077325090094e-09
ch17,6.167014185649787e-07,0.00013986165692067486,0.7994806079145621,4.745088215617222,351,3.540220320324142e-10,3.43528150486802e-10,3.430094180532479e-11,1.2357436242378821e-09,1.8693452163564523e-08
