,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,7.547781904606696e-07,5.1471924166187386e-05,0.3393824504924027,2.919562065430669,2519,1.3238727572773267e-10,1.1923186543592798e-10,1.2234927686141945e-10,3.4284268104963447e-10,1.3973595954543113e-09
ch1,1.8800026639960767e-06,8.05045448814258e-05,0.21223149126382268,5.895156491321513,2629,1.0423490707606726e-10,3.550294679523606e-10,5.293657410300371e-10,7.217361241986215e-10,3.893316543956325e-09
ch2,2.8893353021231277e-08,2.475459598918931e-05,0.21317450968045054,1.596063077738905,3576,7.020396012974016e-11,5.5585722076406464e-11,5.7159386206230803e-11,1.3199951327921906e-10,2.600966768720325e-10
ch3,1.9200683032960926e-06,7.798075983252148e-05,0.21270589605318507,6.2079522254935355,2482,1.169482246251599e-10,1.8391520337828696e-10,2.850616182024828e-10,5.737091728026675e-10,3.6071073610294004e-09
ch4,4.0554762082312e-07,3.861240105701904e-05,-0.22526317912079089,3.566353484228409,3049,1.0037140203044e-10,9.474814830284607e-11,9.537733625705118e-11,3.1849481687248425e-10,7.349995352708611e-10
ch5,6.610675939093416e-08,3.3562295254401916e-05,-0.3110471566119536,1.5475917954423837,2458,1.2794497960223578e-10,6.098802345293923e-11,3.359021820689582e-11,2.3260722034990796e-10,5.622698833772249e-10
ch6,-2.3827680755927126e-07,3.2220370296029164e-05,-0.07986573700413271,1.3940649197064987,2867,1.0295457188728198e-10,7.632930459730001e-11,5.761349472691367e-11,2.841189028598742e-10,4.2843048106018546e-10
ch7,2.3958400472082156e-06,8.070131948238457e-05,0.09502165582157562,6.345983729684502,2550,7.275209621598659e-11,3.9571900570934255e-10,7.145139932772157e-10,6.372932135477535e-10,3.745186170948118e-09
ch8,5.443796942994757e-07,2.7330813227281693e-05,-0.16417179281640906,2.411764886114886,2753,4.783382918508311e-11,5.7867924837925824e-11,6.58568100617229e-11,1.4021195083608793e-10,3.4966891339181946e-10
ch9,-1.4759989922642933e-07,3.48313757122473e-05,0.20618229672532834,1.9382131993408453,3515,1.2616806188160266e-10,1.5957774878616946e-10,2.0903896140994228e-10,2.4076721297886336e-10,3.7825522518079193e-10
ch10,3.389688005445178e-07,3.3806894311024996e-05,1.1879783790994365,19.97182645640054,1423,5.703102339998356e-11,2.916912684915238e-11,8.390613589880817e-12,2.1365357151018133e-10,7.303026392687105e-10
ch11,2.4165745716555413e-06,7.772978676740864e-05,0.4457316561834433,8.334988613569292,2456,5.898757258390886e-11,1.5178873077223744e-10,3.0280751703714226e-10,5.060292788824026e-10,3.942774310633974e-09
ch12,4.972218799524082e-07,4.0581172627207305e-05,0.19658510234228976,4.398968573960342,3151,2.9692213846875984e-11,9.4812627097842e-11,1.3105998330541448e-10,1.6433086535575535e-10,8.345832296663415e-10
ch13,7.854086711940042e-08,3.1168834628405793e-05,0.7459609585319728,3.4556064305097856,1776,1.1337264281661768e-10,3.303961121062438e-11,1.1307785356968813e-11,2.4250552348407396e-10,4.622761378697462e-10
ch14,-3.4428249877299085e-07,5.33186373728371e-05,-0.1486232861247786,1.206942941559256,2480,1.511964780974614e-10,1.3404519295791106e-10,1.3796741454715512e-10,5.464049824655228e-10,1.6246367166796817e-09
ch15,2.329372989332663e-07,3.635066430141777e-05,0.33958316569638136,1.9249341979796162,2433,1.446965134554966e-10,7.475189461154011e-11,5.432480062651076e-11,3.3491530204767627e-10,6.0716883522727e-10
ch16,-1.2724344469493197e-07,3.6458076093111564e-05,-0.5242913127057676,2.933329314515138,2458,1.1114405902440613e-10,5.424808971470566e-11,3.405646810690999e-11,4.1481473055415964e-10,5.980078961682074e-10
ch17,3.344923048393605e-07,4.733307585612811e-05,0.5032554980963786,3.0367045454474795,1488,2.5152337553098845e-10,7.173216961821571e-11,7.806708260601922e-12,5.886646879414948e-10,1.1097863360482637e-09
