,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-9.937878693882154e-07,0.00014934853186677777,-0.20886979906252295,2.078825368807353,3090,1.9042249157007214e-10,3.4631301932629063e-10,3.4787890795400763e-10,1.5025801518910176e-09,1.772571623486553e-08
ch1,1.8903669524052967e-06,0.0001024238392005458,0.22669976567922873,2.2334278467195334,4079,1.836814678025952e-10,2.8579190330519606e-10,2.1556617756864115e-10,7.499384616998243e-10,7.222238348897516e-09
ch2,6.494770998379712e-07,0.0001362238089209265,-0.03362622318994869,1.6876346094308836,3048,1.8534212623150203e-10,3.4191742983752143e-10,2.454922364610888e-10,1.405523074243603e-09,1.3156160550592615e-08
ch3,3.359631025468658e-06,0.00011940159980902656,-0.047604242884486184,2.685891751547765,3608,1.6323568989394035e-10,2.347946079922119e-10,2.3448647622308983e-10,9.168896582479273e-10,9.679236571931755e-09
ch4,-1.0372351460712767e-07,0.00010826615056278827,0.07290397533919223,1.0025521342579848,2994,1.8514647443878428e-10,3.192886557895048e-10,1.59585851879773e-10,6.690522984914259e-10,8.833970714575032e-09
ch5,-5.213702673970955e-07,0.00015589458407752824,0.22273789419064968,2.2636142788525717,2345,2.7933688935997065e-10,2.446348214663016e-10,1.3126432220865607e-10,1.9524752495429984e-09,1.849862153888822e-08
ch6,1.004538672600766e-06,0.00015290743734912277,-0.13659748780632233,1.5895173375705989,1728,2.1141650356410826e-10,1.185443698266212e-10,3.4223786303874214e-11,1.5467054901255159e-09,1.7981271578779536e-08
ch7,2.5052189620828573e-06,0.00013074458675809789,0.3854671485864231,2.02889524524742,3750,1.282671997259905e-10,3.9378492175405604e-10,4.093140430559792e-10,9.301734122270421e-10,1.3162951865507031e-08
ch8,7.550593147621619e-08,0.00011908617926633721,-0.06536097950729076,1.3646823394520196,3497,1.1559081498261351e-10,4.655820065420189e-10,4.2451191950438935e-10,6.809213624323073e-10,1.0517053848155783e-08
ch9,1.605744343396993e-07,0.0001275754782128127,-0.03954211213430537,1.2661035623028072,4184,2.2160826489921822e-10,5.767301347764251e-10,5.14224159067662e-10,1.2420358456741553e-09,1.1365784000405171e-08
ch10,9.235657961924674e-08,0.00011268389681349955,-0.09550119868078658,2.066266131085449,1580,7.18826111832911e-11,5.871238701929122e-11,1.467038750288233e-11,4.814592333248281e-10,9.800738929566473e-09
ch11,2.3479547735967554e-06,0.00011811750937179947,0.4508951390657268,4.016164776197496,3066,1.3060936147953073e-10,2.0269107328302472e-10,1.8686067186177896e-10,9.785840193384804e-10,9.690289391226428e-09
ch12,8.038951817143453e-07,0.0001197633261601934,-0.08338730412862656,1.8021968990691644,3685,1.532753721942659e-10,3.2106212867784175e-10,4.754145479973332e-10,1.1510172582085018e-09,1.002063886210278e-08
ch13,3.7502500679892543e-07,9.390985613734687e-05,0.04335895264037567,2.0751927973626794,2908,8.35749001510156e-11,8.200187501959789e-11,6.081914020537405e-11,6.413432247701489e-10,6.841831649159609e-09
ch14,-7.729329367793668e-08,0.00010217982013994374,0.18887188098856447,1.6573006790207412,3356,1.6767438133715483e-10,2.4154569160558527e-10,1.7948328293859298e-10,7.319935083557841e-10,7.733045837560624e-09
ch15,-6.5252012206298664e-09,9.587616646265731e-05,-0.08890530019828072,1.650687182607098,2654,1.612804257147508e-10,1.6649024296513992e-10,4.218923382921117e-11,6.748574844137769e-10,6.940130296782626e-09
ch16,-2.4872327474830644e-08,0.00013514401034166472,-0.007557846094450899,1.5324818176472768,2212,2.3442221162062386e-10,1.8097699238667504e-10,8.43441750933995e-11,1.6444708086390417e-09,1.4107659900589444e-08
ch17,-3.0351471160686045e-07,0.00010905878468467944,-0.07185343138566282,1.512252547850081,1454,1.0618070354327968e-10,5.960804964609217e-11,6.916678440297464e-12,7.121370181538851e-10,9.370448286126248e-09
