,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-1.0866424077700802e-09,8.469863095616902e-05,0.03646383318670585,1.4924571197175975,1469,3.2683832240248766e-10,6.817805216110853e-10,1.3128058798739972e-09,2.083948841777231e-09,2.0417032009355048e-09
ch1,-2.55973096039939e-07,5.1200387351322124e-05,0.684687666769327,2.501839834271297,1136,1.2677785231540138e-10,1.5354034162785648e-10,1.7827100835574252e-10,7.393735676143475e-10,1.2124807057268044e-09
ch2,-6.632230742060128e-08,3.906477089785114e-05,-0.10320587774089247,2.8721856889015553,1446,1.2715566036807483e-10,1.94520257742725e-10,2.789819464601468e-10,3.7746440572247633e-10,4.291885172931227e-10
ch3,3.9741383390249994e-07,8.217746647622574e-05,0.40576024446238584,2.275425663792162,1449,3.197006761538289e-10,6.589979423697218e-10,1.5935833033235158e-09,1.6218580649308349e-09,1.7092244383544447e-09
ch4,3.294295641727604e-08,4.277673943960523e-05,-0.2426205176228059,0.6700312357816856,1180,1.2283130993969256e-10,1.4279474308773298e-10,1.2150617657026275e-10,8.311452258498659e-10,5.44268644520164e-10
ch5,-3.9642993542566745e-07,8.342309350835255e-05,-0.387406632193017,2.5521939658980513,1167,4.4497405903565543e-10,4.918010644335702e-10,4.1508698742459487e-10,2.696767439038385e-09,2.484093077539313e-09
ch6,1.3519014856596668e-07,3.897482931723885e-05,0.11914598122000716,2.705382441758747,1425,1.1210333882566561e-10,1.868101656967665e-10,2.8055212718815926e-10,3.650075618721756e-10,4.724071451928082e-10
ch7,-2.4541760252762944e-07,5.0522918551894156e-05,1.4125487796068021,9.056451772117793,1417,7.433220232289004e-11,1.1034019927814474e-10,2.2103967863730738e-10,4.5239797692735134e-10,1.1538117365583468e-09
ch8,9.323589758899607e-08,2.762042364974016e-05,-0.09630423261592332,0.44942498271181286,1433,4.558090373274106e-11,6.717072440561043e-11,8.562989186525731e-11,2.8603353380533915e-10,2.4146552920181903e-10
ch9,-5.197032057441662e-08,3.8734831737082696e-05,-0.37216772203800286,2.674578287931533,2237,9.999071777795724e-11,2.6966861705580407e-10,4.609972317610666e-10,2.741616081772781e-10,2.953844618213914e-10
ch10,5.3182626261384237e-08,3.5418403188177376e-05,-0.1630345977823055,0.5513132844656572,735,6.589816378963489e-11,5.019619525240217e-11,1.2211646132525827e-11,6.502610223999577e-10,4.816780135384492e-10
ch11,-1.0609090098829408e-06,7.740343002696233e-05,0.48025195915059893,4.889144348681648,1631,1.3664866212128247e-10,4.953836654266944e-10,1.8270253492562153e-09,5.001836984761391e-10,1.823959802480838e-09
ch12,1.2027262878048974e-06,6.304685937706511e-05,-0.09059461093855248,4.381084421806734,2277,1.2746838862332102e-10,5.250531433358264e-10,1.505639783669614e-09,3.46845302409515e-10,9.04226218413827e-10
ch13,2.9301305606216405e-08,2.639479957679833e-05,-0.21860935325978806,1.7934217047939542,1516,6.68592293276022e-11,7.787788515670252e-11,1.4524133201237915e-10,1.5290484427373148e-10,2.1298753133087548e-10
ch14,-1.0054916592282763e-08,7.592243936296338e-05,-0.0961925834540494,1.1980749518928482,1401,4.635424030695647e-10,4.901110909789856e-10,7.47187210406157e-10,1.540339759909849e-09,2.1590244297518524e-09
ch15,-1.3521364283353533e-07,3.735038662003294e-05,0.02974872865731815,0.4598767875348182,1110,9.363327668797639e-11,1.0072115901661615e-10,1.149680485495637e-10,6.045107555951833e-10,4.5894574756062213e-10
ch16,3.629803234690203e-07,4.622972769164881e-05,0.021136581125835913,1.0575246523934227,1224,1.3684601101396426e-10,1.8181873379043568e-10,2.1923266406533648e-10,6.347607269833475e-10,9.005755277964091e-10
ch17,-7.033594538651498e-08,3.1984136810748e-05,-0.025658234918665423,0.653071628137349,805,8.03331677089835e-11,7.413346491670874e-11,1.6525605937223215e-11,4.966245665692996e-10,3.3648073200264527e-10
