,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-6.656763886505631e-07,0.00016641859939290542,-0.2015673198116947,1.6430029416650473,4.222187774571113e-10,7.863720832245552e-10,8.596117773545009e-10,1.9647742746672668e-09,2.0877842922052e-08
ch1,-8.148843516547678e-07,0.00015979994340321847,0.3118391169084768,1.493936767470962,5.695517333827201e-10,1.0438020573364418e-09,5.715358989447833e-10,1.9765543237069884e-09,1.8083361061433122e-08
ch2,-5.444534355545023e-07,0.0001183109860233203,-0.13127608247824377,0.9144960066207926,2.4391241185972496e-10,8.791118629164212e-10,6.472583485667752e-10,1.7918505705577927e-09,9.440020119318855e-09
ch3,-1.296570390677566e-06,0.00014630118384112618,0.24875669802283543,2.10542028967465,3.221673805068103e-10,5.146291504435192e-10,5.056382035173804e-10,1.4121063873778538e-09,1.5225672530072002e-08
ch4,-1.1396718197196515e-06,0.00013158445159459483,0.0998055102704785,1.0456998932832215,4.5238363600237054e-10,5.499965992633969e-10,1.6184804026339403e-10,1.799726084390944e-09,1.2676543991150149e-08
ch5,-1.0444945442591993e-06,0.00013230059317817207,0.08288911583595453,1.0625910824557838,3.2567318328509416e-10,1.204645062882326e-09,1.1148479125706051e-09,1.538264398750721e-09,1.2087001852740427e-08
ch6,7.849862799798474e-07,0.0001476633045414473,-0.2566244423758672,0.7592950180349867,2.0092668096301524e-10,1.943629755996648e-10,1.2001082692010025e-10,2.760938951554501e-09,1.6349765155056037e-08
ch7,-1.318168448722143e-06,0.0001770319599659837,0.42006736674110695,1.3224621363749618,4.418853441862057e-10,1.1566650140731976e-09,8.785430301930358e-10,1.7746125216668066e-09,2.4496817835668712e-08
ch8,-5.160911489749304e-07,0.00013829440626002498,-0.03909027216764571,1.12896384595037,2.0203498726648879e-10,3.3966088884199934e-10,2.636935811897814e-10,1.23525418938115e-09,1.5775704176717986e-08
ch9,-1.6007349625275128e-07,0.00014270308276943873,0.069358561725768,0.993025539667848,3.5007224660006807e-10,1.4078481074544078e-09,1.1690009469736206e-09,1.9000688288270335e-09,1.3810000845216456e-08
ch10,-7.248787034045714e-07,0.00013922774733769998,-0.15649748748903047,1.0997781299234566,1.8768455732589198e-10,1.369345369095349e-10,2.229503799905507e-11,8.75484098070608e-10,1.6674423346065025e-08
ch11,-1.2802559502134355e-06,0.00013143063802278847,0.3978838298956501,1.925691266969161,2.669913626015749e-10,5.157749879713232e-10,4.0411359590223986e-10,1.2530722298092099e-09,1.2479659980900877e-08
ch12,-5.325177498797901e-07,0.00013747726698034893,0.20325338425119857,1.2813373877475156,2.5187580006246834e-10,6.383375369226896e-10,7.548248631947384e-10,1.7619617018578498e-09,1.3707758824764989e-08
ch13,-1.4665094660574145e-06,0.00011667839085661661,0.007865456014250125,1.3971631107851046,1.5214409004961789e-10,1.1207028505194597e-10,2.6938925530597404e-11,1.2548414281079717e-09,1.1269341735557443e-08
ch14,5.461905115562317e-07,0.00014759799008573585,0.15694822085396887,0.8321371073534434,5.185331301749348e-10,1.7115789510368718e-09,1.5371812755245755e-09,2.3111517725851893e-09,1.4112294959837177e-08
ch15,-9.3730862066812e-08,8.427328330384827e-05,-0.1597180251030203,1.24239883436368,2.3167250441600917e-10,1.7848630986151694e-10,3.065386159484092e-11,1.0256028110024895e-09,5.015104663105172e-09
ch16,-3.919728248546922e-07,0.00011586376673338146,0.029103297672830233,0.704090000559197,2.2514978516369653e-10,1.7573059619455092e-10,6.968907701217674e-11,1.6636451231166405e-09,9.988356126607258e-09
ch17,-7.153911892253698e-07,9.239555245674601e-05,0.05826545416413631,1.2348104632380368,1.3165451304258842e-10,8.04783088791619e-11,8.44806247912649e-12,7.28348558917884e-10,6.97490789623901e-09
