,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,3.4854893865541704e-07,2.21435844777483e-05,0.778886810936439,7.805017239679758,3.0508561517072995e-11,4.829789172579162e-11,1.3973471676955539e-11,8.050245514427774e-11,3.0841947127471347e-10
ch1,4.8794434504968644e-08,4.109017431751433e-05,1.8012597005633537,34.51486709728397,2.0081627228608958e-11,4.5861106033897114e-11,2.0936276255320805e-11,9.268552550993385e-11,1.491171888457191e-09
ch2,2.1327124894775544e-07,1.2880481584370403e-05,0.07385364269816788,0.4543286157520434,1.870075676483507e-11,2.7292072439813354e-11,6.21955777346689e-12,4.057623531581967e-11,6.999051626292611e-11
ch3,5.823581829127014e-08,3.7896789766637834e-05,1.7782585485654112,37.07632074706958,1.627224524236376e-11,2.882168341535134e-11,1.0028480726831494e-11,6.817434290629376e-11,1.3030358742090125e-09
ch4,1.2943783080858206e-07,1.649133071435703e-05,0.32896904186713793,4.408403009228973,1.5308428985980408e-11,5.708827365450202e-11,9.279579436890535e-12,3.86973064126732e-11,1.5223472563106602e-10
ch5,-9.62087973112634e-08,2.1580714479062174e-05,-0.9782697794008374,2.8549325466347426,4.697456699434675e-11,2.680532979996794e-11,4.339908370312407e-12,1.7939628655010673e-10,2.0109012079261327e-10
ch6,3.3638944550167745e-07,1.2495829472690278e-05,-0.04814736361515646,0.32171365408565,1.656234086181716e-11,3.330323821935302e-11,2.0171761094824352e-11,2.7047467782558646e-11,4.8763440224125766e-11
ch7,-1.2257006686729762e-09,3.7237840129749924e-05,1.3687066654917908,28.70903593376393,1.674726324214353e-11,9.512018471517408e-11,2.2582098170701218e-11,8.345733093678675e-11,1.1851051551341512e-09
ch8,9.64167662536285e-08,1.4559282495257085e-05,0.23911656389673758,3.0986698022485415,1.1760373664184442e-11,8.00532638443552e-11,7.469833962230864e-12,2.375830652675875e-11,8.343852240704432e-11
ch9,1.041377643574935e-07,1.1724319804772857e-05,0.02856114584630523,1.0118543192524356,1.2794557198507287e-11,2.590072624933287e-11,6.2919123348020415e-12,2.6298533377036425e-11,6.180145939316466e-11
ch10,8.702617198771734e-08,1.559082360152407e-05,0.24133896659139525,5.657432543238377,8.632971391880172e-12,4.843544959374073e-11,3.3916776133468328e-12,3.425123588115422e-11,1.4062730194584383e-10
ch11,1.8313704670150428e-07,3.5422412664413736e-05,1.749662615316837,36.2574299489798,1.5081257868660234e-11,4.698106111276045e-11,1.5854391334662196e-11,7.641044204332434e-11,1.1126545747626605e-09
ch12,9.278241801255615e-08,1.57999690259785e-05,0.593315249197096,10.401870445160613,8.487799602197435e-12,5.1487717383231145e-11,8.691178739671818e-12,2.351454714203162e-11,1.4857455763325776e-10
ch13,1.9122847281264676e-07,1.2875642714186394e-05,-0.012493909970099174,0.43945403865899735,1.4199007823056804e-11,5.1809229502255564e-11,2.6611364151032428e-11,2.0681214858352972e-11,4.440260324773774e-11
ch14,4.0121476419063107e-07,2.8940284315231007e-05,0.64440233123129,0.8452168884616786,6.743855460442358e-11,2.8132564045537166e-11,1.0793274714072306e-11,2.7644422791063933e-10,4.517363569813047e-10
ch15,1.9619889447041505e-07,1.2675064199354057e-05,0.5292865153815943,1.0374444774398413,2.3036129495395884e-11,2.2358742499384418e-11,3.346461692548225e-12,3.7642893261647537e-11,7.145403696040016e-11
ch16,3.2482029277716106e-07,1.4506916336055389e-05,0.28512097821876176,0.9888403759225284,2.7359571748436367e-11,2.0106714355523018e-11,2.835197036986649e-12,5.841441856559224e-11,9.592761233917578e-11
ch17,2.3762081696712073e-07,1.1629391326070544e-05,0.1483122997944638,1.0134506800990861,1.504883048093636e-11,3.503854736517103e-11,3.0944236582700946e-12,3.004825978797837e-11,5.008470007912498e-11
