,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-8.438057535687466e-07,5.672737329226712e-05,0.11314225529400826,3.681035797562612,9.433334465901285e-11,3.249808468324816e-10,3.8584603762382867e-10,2.9064988841147175e-10,1.6044614433029866e-09
ch1,-4.850491823725112e-07,3.9132405584040336e-05,1.0636889274042343,7.383954911604706,5.0839234241794315e-11,8.401612313091282e-11,3.516848189751388e-11,1.702024276651551e-10,7.111844645935424e-10
ch2,-5.632677945379241e-07,4.423819839283172e-05,-0.1620528097223862,1.2274514035591038,1.991746302979006e-10,1.2141497002185712e-10,7.671177902813993e-11,4.947114382119885e-10,7.337689151043619e-10
ch3,-6.211234976806494e-07,4.804997833606381e-05,-0.2751317050660222,9.35534788467001,4.262646866893467e-11,1.4702501046868347e-10,1.7437726439447643e-10,1.5084499374192094e-10,1.1396648588740288e-09
ch4,-6.023719326145527e-07,4.9128904927939306e-05,-0.2499855767449441,2.7786710197645785,1.6409539255633905e-10,3.152861149797069e-10,6.046031872944703e-11,3.2532797109436554e-10,1.1273158741812787e-09
ch5,-7.343898219497375e-07,5.601704344523409e-05,-0.08329484829161804,2.0260755067997565,2.2625739123938762e-10,1.815393358281778e-10,1.256479607887554e-10,5.582850674404603e-10,1.2889121983966788e-09
ch6,-9.794451060473591e-07,4.6573834107058226e-05,0.024848759415193804,1.1379600755622334,2.3027571613298183e-10,1.1023488923180875e-10,7.36412977405691e-11,5.487711441188205e-10,8.897306869859069e-10
ch7,1.4782268962757605e-07,4.4795124068034804e-05,0.6089523385314497,5.959175606443669,5.295569163149455e-11,1.041764210135542e-10,4.663787579106332e-11,1.6528670009731587e-10,1.3470240079679238e-09
ch8,-7.489759865415756e-07,5.5033792680918896e-05,-0.3822163131296733,4.0609039822063835,1.0858629674102325e-10,1.599341270369221e-10,3.0387540676493113e-11,3.1515133624284926e-10,1.7753419259636592e-09
ch9,-4.2245291289957663e-07,4.7934578087316344e-05,0.24265377855318815,2.330175806700952,9.417659255763619e-11,3.425065162450677e-10,3.751744748438098e-10,3.496921924114308e-10,7.723080756050834e-10
ch10,-5.416008229298069e-07,3.8835751725360606e-05,-0.14384847021766198,1.9174942015241347,8.04011579570896e-11,1.0727512785946574e-10,2.152524959334725e-11,2.571515749751773e-10,8.339279609750689e-10
ch11,-1.0846937474165702e-07,4.864717544433909e-05,-0.10738378994178767,4.073602528965147,7.480195176516046e-11,3.9759723211585513e-10,5.043103297463762e-10,1.3157017374309556e-10,7.822306261413371e-10
ch12,-9.620929762471939e-07,5.8107496639136206e-05,0.12181354531684502,1.9190653468210455,1.243081425677154e-10,4.305481880492324e-10,6.118545449027402e-10,2.0220891879274886e-10,1.2288945497325393e-09
ch13,-4.700280343003941e-07,2.7428814843545688e-05,-0.37357121789815423,2.17963192193319,3.969345248945136e-11,5.2852672923682354e-11,1.9132445162631494e-11,1.6040883353395758e-10,3.2279054852821496e-10
ch14,-3.6601800217377267e-07,5.594396297221587e-05,0.7544323925631213,3.8026129445153316,1.248328906098525e-10,3.050880422782709e-10,2.9049841305250267e-10,4.046681647335462e-10,1.7592780781709687e-09
ch15,-4.4408391857957527e-07,5.877916463699495e-05,0.039931736742553486,4.05472157425584,1.42375076348295e-10,2.0691010844280774e-10,4.591266124929989e-11,5.631059862444495e-10,1.9964906252342888e-09
ch16,-1.017253463492199e-06,5.2616704672944114e-05,-0.21485134612226944,2.7782229879551217,1.6459328045738784e-10,1.6987872974447987e-10,1.0849859526063681e-10,4.3763225208368674e-10,1.150885844655287e-09
ch17,-7.951694477294451e-07,4.1501875064536675e-05,0.13439618949122387,1.3365955949611328,8.161691168723843e-11,9.157672773015512e-11,2.0699050753972906e-11,3.936662943737446e-10,9.275370492590892e-10
