,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,9.14200632400427e-11,2.7083272976199606e-05,1.0462406398867665,7.553783528635556,5.617873937578953e-11,9.041832649747476e-11,2.0526733047446227e-11,1.006021625859654e-10,3.68078385171054e-10
ch1,7.394853913640528e-08,4.2884918245112445e-05,2.243141823822907,14.76216876138366,2.4827987689792913e-11,4.4806880257091295e-11,1.4063525203982646e-11,1.1752526970169678e-10,1.3188039372830626e-09
ch2,-9.35509008501719e-08,1.4936371065302219e-05,0.00977150420340876,0.8055754270202162,4.113329916162956e-11,4.859316199304139e-11,7.99669613061934e-12,5.867754305934479e-11,5.634700394068981e-11
ch3,-1.2231931728511744e-08,4.2360990835297376e-05,2.003391627174956,13.786382544988115,3.9173033516950626e-11,3.7343162616550237e-11,1.0600906313279124e-11,1.6936300831027855e-10,1.2002146592530907e-09
ch4,-6.194249622564002e-08,1.691882283851216e-05,0.4397110252220016,2.969198055606726,3.215017360842748e-11,7.153941057494326e-11,1.1228707389573078e-11,3.8271447566261445e-11,1.109222455181428e-10
ch5,-1.212699047817804e-07,3.1300081252480305e-05,-0.5844248136494743,1.088322911259576,2.3792948523448167e-10,2.5067795373813944e-10,1.8998586103973382e-11,3.3065782806029437e-10,1.315522607575626e-10
ch6,1.8104691984275482e-08,1.3988773255320564e-05,-0.05656920762178088,3.085111232639065,2.654803962771506e-11,3.810140941220631e-11,7.0433140388088975e-12,4.24862471908882e-11,6.468967938720446e-11
ch7,1.0042888554899448e-07,4.206099927308107e-05,1.9000247649894586,13.718127163861872,2.440005842691962e-11,7.964388129814506e-11,9.903491438314038e-12,1.0905065710906504e-10,1.2213309205929015e-09
ch8,-4.9638047649272085e-08,1.5784598871255212e-05,0.14301836093058953,1.5876677041019995,2.1652910504707815e-11,7.80067106159412e-11,7.1984417031206434e-12,3.5614707484540253e-11,8.387093369267106e-11
ch9,1.1322758013927735e-07,1.4795099175779783e-05,-0.6228591233593073,11.31976965923518,2.6588884747310974e-11,4.480641159485089e-11,2.2195367349028413e-11,5.340374590204057e-11,6.036769458470621e-11
ch10,-8.046227744303059e-08,1.637735207482944e-05,0.3458007114573432,2.7716473194770943,3.351709228018628e-11,5.2494918631319146e-11,3.5721184527338297e-12,4.296644477982718e-11,1.1541771212700619e-10
ch11,-9.333793049649086e-08,4.302480265012034e-05,2.342533891303454,17.729364030531052,2.2096854780815036e-11,4.2932283682877126e-11,8.035107027360128e-12,1.2983533264653546e-10,1.2872295068985492e-09
ch12,6.458433268904454e-08,2.0337155416386187e-05,0.28306369391406544,6.580474114121557,1.8554257464342517e-11,5.0219260098562016e-11,2.059709840663976e-11,4.464857575951826e-11,2.112961428397276e-10
ch13,-6.884551044144255e-08,1.350622066468038e-05,0.04938048131846987,8.749328836592115,1.722475503917965e-11,4.397689385480043e-11,7.185032787297297e-12,2.5952296247433317e-11,6.319857403572823e-11
ch14,4.893703843354078e-08,3.056288564152377e-05,0.5927987723079476,1.2282796427676823,1.8864734585025888e-10,1.738702103592536e-10,2.155738635194699e-11,4.3984048905105464e-10,9.796583990773012e-11
ch15,-2.012114267719914e-08,1.1068062210795216e-05,0.030547310217321315,1.1312353926187946,2.445105663910771e-11,3.477906299135442e-11,4.808595033685404e-12,2.6510000008503023e-11,2.7925151466415062e-11
ch16,-4.757941878475598e-08,2.2910063610391967e-05,0.23770034718280936,1.6288755743211123,1.0821200266727966e-10,1.2317736993579722e-10,9.969078299948065e-12,2.0950898250446915e-10,6.661224193419714e-11
ch17,-2.6351515084599365e-08,1.2351692010160459e-05,-0.04785160848542021,1.08424207957325,2.5336562812745027e-11,4.565801716908819e-11,3.479736496510635e-12,3.2882157582274455e-11,3.99678188568146e-11
